submission_pk,User,b'Average ALC',b'Average Final Score'
57428,jmhansel,0.43 (1),0.55 (1),
56679,fmohr,0.43 (2),0.55 (2),
57360,neptune,0.42 (3),0.52 (3),
57437,AIpert,0.40 (4),0.50 (5),
57418,automl-freiburg,0.38 (5),0.51 (4),
57343,Xavier,0.37 (6),0.48 (6),
57403,amsks,0.34 (7),0.44 (8),
32730,pavao,0.31 (8),0.43 (9),
31240,tiestos,0.31 (8),0.43 (9),
52199,hungnm,0.24 (9),0.46 (7),
47569,pprp,0.24 (9),0.46 (7),
48952,arushsharma24,0.23 (10),0.40 (10),
30004,Ngrin,0.22 (11),0.39 (11),
20129,janvanrijn,0.19 (12),0.34 (12),
