submission_pk,User,b'AvgAP',b'AvgAP50',b'AvgAP75',b'AvgAR@300'
122859,nicehuster,0.5465 (1),0.6116 (1),0.5800 (1),- (-),
95780,yangxingyi,0.4543 (2),0.5602 (2),0.5176 (2),- (-),
124038,angelomenezes,0.4169 (3),0.5107 (4),0.4649 (3),- (-),
125243,USTC-IAT-United,0.3854 (4),0.5284 (3),0.4636 (4),- (-),
121050,baseline_cl,0.3706 (5),0.4846 (8),0.4426 (5),- (-),
122572,u7355608,0.3553 (6),0.4995 (6),0.4291 (6),- (-),
123121,seesee,0.2925 (7),0.5037 (5),0.3065 (7),- (-),
91302,Huayue,0.2548 (8),0.4907 (7),0.2229 (8),- (-),
114135,Jin_Lim,0.1302 (9),0.1774 (9),0.1562 (9),- (-),
121325,TakeItEasy,0.0790 (10),0.0946 (11),0.0831 (10),- (-),
113325,shawnle,0.0698 (11),0.1401 (10),0.0576 (11),- (-),
