submission_pk,User,b'cp-CER'
472434,aluminumbox,11.27 (1),
472417,msxf,18.64 (2),
471998,zyxlhz,24.82 (3),
472403,mingzi,26.11 (4),
471503,sc_bytedance,34.21 (5),
472083,kkspeech,40.14 (6),
470384,M2MeT,41.55 (7),
472450,DAICT,41.64 (8),
