submission_pk,User,b'Error rate',b'Memory usage (MiB)',b'CPU time (ms)',b'Score'
354824,EdiMuskardin,0.0750300 (1),122.00 (3),0.045 (1),0.1286291 (1),
401079,neuralchecker,0.0844100 (2),139.00 (4),0.068 (2),0.1478028 (2),
395292,kawa_yo,0.2030100 (3),99.00 (1),0.090 (3),0.1812771 (3),
350980,TAYSIR-Baseline,0.4478500 (4),150.00 (5),0.167 (4),0.3482493 (4),
420265,r.hakimi,0.4478500 (4),159.00 (6),0.200 (5),0.3582396 (5),
379723,franzmayr,0.5521500 (5),120.00 (2),0.228 (6),0.3859860 (6),
