submission_pk,User,b'mAP',b'AP50',b'AP75',b'AR1',b'AR10',b'APso',b'APmo',b'APho'
268324,einston,29.77 (48),50.83 (51),30.94 (47),14.92 (48),38.40 (47),43.66 (54),33.38 (54),10.84 (50),
366972,Antinis,29.21 (49),52.62 (48),27.99 (57),14.85 (51),35.40 (53),44.17 (53),35.04 (51),11.22 (49),
238741,daniel34344,29.10 (50),49.87 (53),29.31 (51),14.85 (49),36.71 (49),44.56 (49),35.46 (46),9.19 (56),
447660,Mo,29.06 (51),50.82 (52),29.48 (50),14.53 (55),38.63 (45),40.78 (58),34.27 (52),10.12 (52),
352610,polaris-sun,29.01 (52),49.71 (54),29.03 (52),14.85 (50),36.67 (50),44.39 (52),35.44 (48),9.07 (57),
346513,XiangtaiLi,28.81 (53),51.08 (50),29.97 (48),15.46 (45),34.52 (55),48.74 (41),32.79 (56),11.30 (48),
482379,Galbi,28.68 (54),52.17 (49),28.20 (56),14.55 (54),33.53 (57),48.03 (44),32.98 (55),10.67 (51),
467862,QGwoy,28.65 (55),49.33 (55),28.49 (54),14.63 (52),36.41 (51),44.67 (48),35.48 (45),8.29 (59),
374797,Kenkun,28.62 (56),49.19 (57),28.44 (55),14.55 (53),36.40 (52),44.55 (51),35.44 (47),8.31 (58),
494134,zhouyik,27.37 (57),48.96 (58),28.50 (53),13.71 (57),34.26 (56),42.81 (56),31.74 (57),10.12 (53),
178840,JaehyunKang,25.38 (58),49.29 (56),23.52 (59),13.52 (58),30.35 (61),41.61 (57),28.68 (58),9.69 (54),
480424,goodboy,25.37 (59),47.37 (60),23.68 (58),12.86 (60),32.71 (58),40.41 (59),28.62 (59),8.06 (60),
455554,NanNan,24.45 (60),47.91 (59),22.70 (60),13.21 (59),28.61 (62),43.38 (55),28.14 (60),8.00 (61),
337095,Chenney12345,23.96 (61),42.60 (62),22.24 (61),12.41 (61),31.74 (59),37.98 (60),27.35 (61),9.53 (55),
352248,NingYuanxiang,21.86 (62),43.41 (61),21.17 (62),12.08 (62),30.44 (60),34.01 (62),24.32 (63),7.46 (62),
110172,crise-casia,20.92 (63),40.88 (64),19.56 (63),11.11 (64),25.27 (64),37.32 (61),26.11 (62),6.19 (63),
464907,paf,18.75 (64),41.04 (63),14.94 (65),10.87 (65),26.48 (63),30.88 (64),20.15 (65),5.89 (64),
183281,wanghc,17.58 (65),34.71 (67),17.94 (64),11.20 (63),22.40 (66),33.20 (63),20.68 (64),4.26 (66),
124013,tinyalpha,16.25 (66),36.10 (65),14.31 (66),9.85 (67),20.78 (67),29.66 (65),18.73 (66),4.74 (65),
126011,loutus,15.29 (67),34.26 (68),12.94 (67),9.22 (69),20.06 (68),27.71 (66),18.00 (67),4.13 (68),
277027,zljia,15.16 (68),34.81 (66),12.32 (68),10.68 (66),24.21 (65),25.77 (67),16.51 (68),3.77 (69),
102483,qjy,13.88 (69),30.74 (70),11.89 (69),9.42 (68),19.43 (69),25.71 (68),15.75 (69),3.54 (70),
224291,lkeab_ust,13.48 (70),32.74 (69),10.62 (70),8.78 (72),18.47 (71),23.29 (70),15.14 (70),4.23 (67),
364211,Cyn,11.41 (71),25.08 (71),9.54 (71),8.90 (71),15.15 (73),23.54 (69),13.88 (71),1.88 (75),
162521,cuixuan,10.59 (72),24.61 (72),7.74 (73),7.41 (73),15.08 (74),20.35 (72),12.77 (72),2.04 (73),
227055,icj_track,10.35 (73),22.62 (73),8.56 (72),9.11 (70),16.45 (72),21.56 (71),11.64 (73),2.14 (71),
290927,Ach,8.36 (74),20.36 (74),6.45 (74),5.50 (74),18.60 (70),15.66 (73),9.20 (74),1.98 (74),
178016,hy523,7.04 (75),18.04 (75),4.51 (75),4.84 (75),12.69 (75),11.39 (74),8.40 (75),2.10 (72),
427562,xingruiw,1.70 (76),4.38 (76),1.39 (76),1.73 (76),2.59 (76),4.40 (75),1.10 (76),0.01 (77),
493239,tqminh,0.35 (77),0.77 (77),0.16 (78),0.29 (77),0.64 (77),0.60 (76),0.02 (77),0.10 (76),
409425,qvtran13,0.20 (78),0.31 (78),0.20 (77),0.18 (78),0.47 (78),0.40 (77),0.01 (78),0.00 (78),
