submission_pk,User,b'correct'
96832,a897953291,96.3 (1),
96426,league,95.9 (2),
95118,game,95.7 (3),
96159,team,95.5 (4),
94828,fight,95.5 (5),
96702,MingWang,95.5 (6),
95576,jiarandegou,95.5 (6),
95558,daliyang,95.5 (6),
96323,ggyyll,95.1 (7),
96312,xrxr,95.1 (7),
96307,qqqwww,95.1 (7),
96297,ou9900,95.1 (7),
96288,xxyyzz,95.0 (8),
95092,match,95.0 (8),
95960,huihuihui,94.4 (9),
89053,sheep,94.4 (9),
91090,damowang,94.3 (10),
89973,Hongyuan_Yu,94.3 (10),
88962,dmw,94.2 (11),
96238,XinWang,94.1 (12),
89234,Peizhen,93.9 (13),
96327,YiYShuxiao,93.6 (14),
89312,xiaohao1,92.9 (15),
90698,dengzhenxin,92.9 (16),
92933,RammusLeo,92.0 (17),
89308,vpromise,89.5 (18),
92504,qingyuan,89.2 (19),
94424,vv,88.9 (20),
95040,zwkk,88.8 (21),
93678,AIG,88.3 (22),
92783,Leeeung,88.1 (23),
94311,jzk,87.8 (24),
96826,yzzhang,87.5 (25),
92291,BRL-PPY,87.5 (25),
89696,yuzhenfu,87.4 (26),
89124,HouPeiyao,87.3 (27),
94004,yihhh,86.7 (28),
93685,chole_22,86.3 (29),
92267,XinghanLu,86.3 (29),
89260,rrrrrr,85.7 (30),
94084,clcc,84.9 (31),
94321,sdu_key,78.6 (32),
93532,yyp,78.6 (32),
94404,Clemen,77.0 (33),
92839,llcc,76.9 (34),
88966,hanyuanyuan,75.9 (35),
89188,potter_zero,72.7 (36),
91102,ketank1,52.9 (37),
95627,Haijunxiong,45.3 (38),
89046,HYXiang,23.6 (39),
89675,zhku,18.7 (40),
