submission_pk,User,b'HOTA',b'DetA',b'AssA',b'MOTA',b'IDF1'
353420,juntawu,75.300603 (1),84.892060 (1),66.900904 (1),92.179233 (5),77.337197 (1),
443041,Ahnsun,71.191005 (2),83.755290 (2),60.661644 (2),92.798254 (1),73.265735 (3),
416336,power0341,70.192103 (3),82.150764 (12),60.113152 (3),90.590180 (22),71.739215 (5),
233317,zyayoung,69.896227 (4),82.996824 (5),58.986240 (4),91.932316 (10),71.701050 (8),
282904,li1zz,69.892384 (5),83.061566 (4),58.934452 (5),91.970356 (8),71.621581 (9),
281724,Vio,69.868164 (6),83.142349 (3),58.856270 (7),92.434795 (3),71.702415 (7),
486421,PaigeNorton,69.758083 (7),82.985449 (6),58.762126 (8),91.960327 (9),71.719527 (6),
404194,bphengyan,69.460295 (8),82.122556 (13),58.897055 (6),91.200902 (17),71.873568 (4),
492608,heyongxin233,68.157139 (9),81.587615 (17),57.062130 (10),89.883665 (28),69.920147 (10),
334944,Lizhuo158,67.097511 (10),82.570041 (7),54.649423 (11),91.063611 (18),67.792556 (14),
481950,hzf123,66.790675 (11),82.314718 (9),54.337921 (12),91.317098 (15),68.378573 (12),
445527,lijunyi,66.130521 (12),81.630973 (16),53.697181 (14),89.907181 (27),67.205416 (15),
397636,Hyunseop,65.903810 (13),82.455244 (8),52.797085 (15),91.808166 (11),69.022519 (11),
463753,MartinZHe,65.346353 (14),74.950122 (37),57.449648 (9),90.129199 (25),73.323458 (2),
394911,jykim,65.018203 (15),78.133225 (33),54.262511 (13),88.488965 (36),67.890448 (13),
394404,YanhuiS1999,63.395633 (16),82.187633 (11),49.023463 (17),92.590761 (2),65.522781 (16),
476490,ymzlol,62.230132 (17),81.851167 (14),47.435526 (18),91.631105 (13),63.044246 (17),
463931,sy_liang,61.243019 (18),73.956616 (38),50.845958 (16),79.077416 (46),62.632860 (18),
494054,huangjiangui,60.871041 (19),78.803539 (27),47.158943 (19),88.242048 (38),62.095391 (19),
494226,ElijahLee,60.249538 (20),80.597348 (19),45.159707 (21),88.667063 (33),58.355640 (26),
390260,lhcygan,60.107817 (21),82.244199 (10),44.056039 (23),92.128743 (6),59.393818 (23),
490934,Tiann,60.063773 (22),78.555772 (30),46.067890 (20),88.181875 (39),61.216783 (20),
490651,kinglei,59.306675 (23),78.663709 (28),44.860792 (22),88.036975 (40),60.431206 (22),
461732,XEXI,58.639205 (24),81.847994 (15),42.134155 (25),92.180616 (4),59.152142 (24),
479240,holmescxy,58.336784 (25),80.656255 (18),42.314796 (24),90.914561 (19),58.386833 (25),
296753,HiutungZyu,57.836449 (26),80.477330 (21),41.684077 (26),91.713410 (12),60.500299 (21),
475280,lzl,55.704371 (27),79.200698 (26),39.286808 (28),91.296003 (16),58.136647 (27),
281911,shavantrevva,55.229201 (28),80.545973 (20),38.061186 (31),92.115256 (7),54.940584 (31),
471438,Guo_Jing_yi_i,55.224849 (29),79.836102 (22),38.288785 (30),89.392252 (31),54.626573 (32),
482095,JiZhenPeng,55.210190 (30),79.341369 (25),38.523550 (29),89.995366 (26),56.140659 (29),
358202,maohuan,54.821573 (31),72.702487 (41),41.520320 (27),78.678337 (47),53.070327 (38),
480332,wjy,53.910762 (32),79.380182 (24),36.727717 (32),91.584073 (14),56.271023 (28),
479787,ZCCZ,52.717246 (33),79.772756 (23),34.985818 (33),90.715022 (21),53.060215 (39),
373759,Yuqing,52.301947 (34),78.551119 (31),34.965481 (34),90.416232 (24),53.562494 (35),
388049,YuchengZ,52.281730 (35),78.591966 (29),34.920790 (35),90.423494 (23),53.549081 (36),
491164,zzzzy,51.229465 (36),78.505703 (32),33.569198 (37),90.718480 (20),52.844131 (40),
359781,caton_cocle,49.927485 (37),73.812186 (39),33.989806 (36),88.437783 (37),53.099358 (37),
385238,laybebe,48.641413 (38),75.305419 (36),31.552875 (41),85.224058 (42),48.816006 (42),
379269,lavender5683,48.243334 (39),71.265283 (43),32.770755 (38),89.167468 (32),55.086623 (30),
370790,roson,47.562509 (40),70.975598 (44),31.992219 (40),89.636057 (29),53.765795 (34),
376547,ion,47.366746 (41),70.357052 (45),31.999647 (39),88.518706 (35),54.440674 (33),
344003,liyiya,46.614386 (42),71.300573 (42),30.581971 (42),89.491503 (30),52.729569 (41),
471240,bolun_z,46.104701 (43),75.753712 (35),28.223224 (43),88.520780 (34),45.476480 (43),
424901,wuzewei,44.014350 (44),73.221466 (40),26.682522 (44),84.789706 (43),42.300165 (44),
182330,peizesun,41.832869 (45),78.080086 (34),22.599878 (49),86.824177 (41),35.732867 (49),
339423,lilirui,39.614102 (46),65.759647 (47),23.971996 (45),81.439381 (45),41.944489 (45),
318624,lilizhen,39.438531 (47),67.079258 (46),23.360170 (46),84.262327 (44),40.607688 (47),
471913,dudulidudu1,37.988898 (48),63.557587 (48),22.795553 (48),78.347731 (48),39.897951 (48),
291601,cancan,37.808524 (49),63.179722 (49),22.802933 (47),75.103920 (49),41.409109 (46),
