submission_pk,User,b'Style transfer accuracy',b'Meaning preservation',b'Fluency',b'Joint score',b'ChrF1'
44205,gleb.shnshn,0.97 (3),0.93 (1),0.95 (4),0.86 (1),0.53 (72),
38982,orzhan,0.98 (2),0.83 (9),0.95 (2),0.78 (2),0.55 (51),
38445,Phoenix120,0.91 (14),0.90 (2),0.95 (1),0.78 (3),0.55 (43),
28567,Rexhaif,0.93 (8),0.83 (10),0.95 (3),0.73 (4),0.57 (19),
491491,jaroslav_bologov,0.91 (13),0.86 (7),0.93 (5),0.73 (5),0.54 (62),
446242,chomsky,0.92 (11),0.80 (35),0.92 (6),0.67 (6),0.57 (20),
410192,pam4ek,0.91 (12),0.82 (14),0.90 (9),0.67 (7),0.57 (24),
45147,aorews,0.94 (6),0.79 (39),0.85 (18),0.66 (8),0.52 (76),
392894,v-yurchenko,0.92 (9),0.79 (44),0.89 (14),0.66 (9),0.54 (53),
32727,etomoscow,0.92 (10),0.80 (36),0.89 (12),0.65 (10),0.56 (36),
154304,tesag90651,0.95 (4),0.77 (62),0.89 (13),0.65 (11),0.56 (40),
157102,Shkarin,0.93 (7),0.79 (43),0.88 (15),0.65 (12),0.56 (37),
288328,Alexander_Serebrennikov,0.88 (17),0.78 (49),0.91 (7),0.62 (13),0.55 (44),
280796,ZAU,0.88 (18),0.78 (50),0.91 (8),0.62 (14),0.55 (48),
33428,king_menin,0.90 (15),0.75 (79),0.90 (10),0.60 (15),0.53 (68),
409307,aayurovskikh,0.90 (16),0.79 (38),0.78 (65),0.57 (16),0.56 (39),
410133,smekur,0.77 (32),0.84 (8),0.86 (17),0.57 (17),0.57 (17),
405859,jack.golokhov,0.79 (25),0.82 (13),0.85 (19),0.56 (18),0.57 (32),
27815,escept1co,0.85 (19),0.79 (46),0.82 (30),0.54 (19),0.49 (88),
289884,mgp,0.94 (5),0.74 (84),0.74 (92),0.53 (20),0.50 (84),
156410,dariaip,0.84 (20),0.76 (71),0.81 (40),0.52 (21),0.51 (82),
40096,SomethingAwful,0.76 (44),0.81 (22),0.83 (26),0.51 (22),0.58 (10),
405162,lainer991,0.75 (49),0.81 (24),0.82 (34),0.50 (23),0.58 (9),
25689,varvara,0.75 (50),0.81 (25),0.82 (34),0.50 (24),0.58 (9),
410562,Tagart,0.75 (51),0.81 (21),0.82 (35),0.50 (25),0.58 (8),
287872,igvartem,0.75 (54),0.80 (27),0.83 (27),0.50 (26),0.58 (5),
445618,alexander_stepikin,0.75 (47),0.80 (31),0.82 (33),0.50 (27),0.58 (16),
296107,ugeorge,0.77 (35),0.78 (52),0.81 (43),0.50 (28),0.57 (31),
410595,Evgeny_Bogdanov,0.73 (63),0.80 (29),0.83 (25),0.49 (29),0.58 (6),
152960,TumanovGA,0.75 (53),0.79 (40),0.81 (38),0.49 (30),0.58 (12),
154756,Alexader,0.76 (43),0.80 (34),0.80 (46),0.49 (31),0.57 (18),
29580,anton39reg,0.74 (60),0.80 (33),0.82 (36),0.49 (32),0.58 (13),
157286,Alexander_I,0.77 (38),0.78 (54),0.80 (51),0.49 (33),0.57 (26),
288237,orion0555,0.80 (24),0.74 (85),0.79 (57),0.49 (34),0.69 (3),
292824,esushinskii,0.76 (45),0.79 (45),0.81 (44),0.49 (35),0.58 (15),
288426,konstantinator,0.76 (42),0.78 (47),0.79 (56),0.48 (36),0.57 (27),
408989,andreisun,0.74 (58),0.80 (37),0.81 (42),0.48 (37),0.56 (42),
21116,schokoro,0.70 (74),0.82 (12),0.83 (24),0.48 (38),0.56 (38),
289441,kovaleva.oa,0.77 (33),0.74 (82),0.82 (31),0.48 (39),0.52 (79),
290342,yaroslav_kutuzov,0.76 (41),0.77 (59),0.80 (48),0.48 (40),0.55 (47),
27065,alenusch,0.76 (40),0.77 (60),0.80 (48),0.48 (41),0.55 (47),
289613,AndreyProkhorov,0.73 (66),0.80 (26),0.81 (41),0.48 (42),0.57 (22),
438475,nlp_user,0.77 (36),0.76 (69),0.80 (53),0.48 (43),0.55 (49),
289213,gurind,0.74 (61),0.78 (51),0.80 (47),0.48 (44),0.57 (28),
289261,Lokrizz,0.81 (23),0.73 (87),0.77 (77),0.47 (45),0.64 (4),
