submission_pk,User,b'Score (mAP)',b'Vehicles',b'Person',b'Bicycle',b'Traffic Light',b'Traffic Sign'
128482,heboyong,0.53 (1),0.68 (1),0.60 (1),0.43 (1),0.54 (1),0.38 (1),
130634,baiqi,0.44 (2),0.61 (5),0.50 (4),0.38 (4),0.43 (2),0.31 (2),
130521,msc_1,0.44 (3),0.61 (7),0.52 (2),0.42 (2),0.38 (6),0.26 (4),
127271,Aidyn,0.42 (4),0.61 (4),0.48 (7),0.38 (3),0.38 (7),0.24 (6),
126240,caic-ailab,0.41 (5),0.61 (8),0.50 (3),0.35 (5),0.38 (8),0.20 (10),
130618,Zhou_ZM,0.41 (6),0.62 (2),0.48 (8),0.25 (9),0.40 (5),0.27 (3),
128444,xvsdva,0.40 (7),0.61 (10),0.48 (9),0.29 (7),0.41 (4),0.22 (7),
129595,FlowerCat,0.40 (8),0.61 (6),0.46 (10),0.28 (8),0.43 (3),0.22 (8),
125866,caic_ailab526,0.39 (9),0.62 (3),0.48 (6),0.32 (6),0.37 (9),0.19 (12),
127088,icecreamztq,0.37 (10),0.56 (12),0.48 (5),0.22 (11),0.36 (10),0.24 (5),
112839,davidxp,0.35 (11),0.61 (11),0.40 (11),0.25 (10),0.30 (12),0.19 (11),
118193,dishant_mewada,0.35 (12),0.61 (9),0.38 (12),0.21 (12),0.34 (11),0.21 (9),
112331,Beena,0.09 (13),0.00 (15),0.26 (13),0.10 (13),0.00 (14),0.09 (13),
102403,olvqqq,0.08 (14),0.19 (13),0.17 (14),0.02 (15),0.00 (14),0.00 (15),
113297,wooks527,0.07 (15),0.10 (14),0.08 (15),0.02 (14),0.12 (13),0.05 (14),
