submission_pk,User,b'Average Top-1 Acc.',b'Activity Top-1 Acc.',b'Decoration Top-1 Acc.',b'Creation Top-1 Acc.',b'Process Top-1 Acc.',b'Mammal Top-1 Acc.',b'Instrumentality Top-1 Acc.',b'Material Top-1 Acc.',b'Aquatic_vertebrate Top-1 Acc.',b'Device Top-1 Acc.',b'Amphibian Top-1 Acc.',b'Bird Top-1 Acc.',b'Consumer_goods Top-1 Acc.',b'Military_vehicle Top-1 Acc.',b'Region Top-1 Acc.',b'Aircraft Top-1 Acc.',b'Structure Top-1 Acc.',b'Locomotive Top-1 Acc.',b'Geological_formation Top-1 Acc.',b'Plant Top-1 Acc.',b'Car Top-1 Acc.',b'Food Top-1 Acc.'
219551,USTC-IAT-United,0.55116 (1),0.59599 (1),0.65919 (1),0.67342 (1),0.60499 (1),0.61515 (1),0.59309 (1),0.60513 (1),0.60948 (1),0.57479 (1),0.55907 (1),0.63607 (1),0.51640 (1),0.60726 (1),0.47277 (1),0.58282 (1),0.42991 (1),0.50554 (1),0.41973 (1),0.53326 (1),0.50062 (1),0.27971 (1),
219540,gugu,0.43500 (2),0.51886 (2),0.50940 (2),0.50311 (2),0.44952 (2),0.52173 (2),0.42031 (2),0.42198 (2),0.55907 (2),0.45759 (2),0.43249 (2),0.56263 (2),0.36729 (2),0.49524 (2),0.36260 (2),0.48999 (2),0.35514 (2),0.42989 (2),0.33998 (2),0.38312 (2),0.38744 (2),0.16767 (2),
219545,PingPingPangPangBangBangBang,0.43456 (3),0.51827 (3),0.50879 (3),0.50278 (3),0.44914 (3),0.52133 (3),0.42004 (3),0.42125 (3),0.55831 (3),0.45726 (3),0.43249 (2),0.56207 (3),0.36673 (3),0.49478 (3),0.36244 (3),0.48948 (3),0.35440 (3),0.42897 (3),0.33998 (2),0.38264 (3),0.38716 (3),0.16752 (3),
199187,buke,0.08270 (4),0.00000 (4),0.00000 (4),0.00000 (4),0.00000 (4),0.00000 (4),0.00000 (4),0.42198 (2),0.00000 (4),0.00000 (4),0.00000 (3),0.28817 (4),0.00000 (4),0.00000 (4),0.33497 (4),0.00000 (4),0.00000 (4),0.37915 (4),0.31248 (3),0.00000 (4),0.00000 (4),0.00000 (4),
