submission_pk,User,b'F1',b'precision_score',b'recall_score'
311439,zhouyx21,0.856 (1),0.856 (1),0.856 (9),
309956,kamalkraj,0.834 (2),0.768 (3),0.912 (5),
311425,jvladika,0.798 (3),0.777 (2),0.820 (10),
295571,csyantins,0.774 (4),0.736 (5),0.816 (11),
307314,wwangbw,0.764 (5),0.757 (4),0.772 (15),
311438,erictien,0.709 (6),0.668 (8),0.756 (17),
311487,ashton,0.705 (7),0.654 (9),0.764 (16),
309730,rr2000,0.701 (8),0.550 (21),0.968 (3),
309267,oisin.turbitt,0.695 (9),0.668 (7),0.724 (20),
308684,ke.lara,0.688 (10),0.533 (24),0.968 (3),
310795,AliceNX,0.683 (11),0.552 (19),0.896 (7),
310949,Qha,0.683 (11),0.552 (19),0.896 (7),
310892,XXAsyn,0.683 (11),0.552 (19),0.896 (7),
310888,Sunny18,0.683 (11),0.552 (19),0.896 (7),
310606,zhaoxf4,0.679 (12),0.592 (13),0.796 (13),
307773,bp-high,0.679 (13),0.523 (26),0.968 (3),
301925,facanhe,0.679 (14),0.621 (10),0.748 (18),
297684,kefahfarisaleesa,0.670 (15),0.529 (25),0.912 (5),
310852,SheerinSitaraNoorMohamed,0.667 (16),0.500 (33),1.000 (1),
309480,alistvt,0.667 (16),0.500 (33),1.000 (1),
296834,lang8173,0.667 (16),0.500 (33),1.000 (1),
301730,aten,0.667 (16),0.544 (22),0.860 (8),
297961,abelcorreadias,0.666 (17),0.500 (33),0.996 (2),
311073,conner,0.662 (18),0.575 (16),0.780 (14),
310160,dpavot,0.661 (19),0.511 (28),0.936 (4),
304662,antonio.tamayo,0.658 (20),0.701 (6),0.620 (23),
308931,Charin,0.655 (21),0.511 (27),0.912 (5),
307513,marianaln,0.640 (22),0.497 (34),0.900 (6),
304747,robvanderg,0.621 (23),0.607 (12),0.636 (22),
304419,shiyuxia,0.620 (24),0.501 (32),0.812 (12),
303373,Pinal-Patel,0.599 (25),0.508 (30),0.728 (19),
310753,Grazh,0.598 (26),0.612 (11),0.585 (26),
309926,FII_Smart,0.596 (27),0.582 (15),0.612 (24),
292906,jckoontz90,0.580 (28),0.557 (18),0.604 (25),
309297,araag2,0.579 (29),0.509 (29),0.672 (21),
310336,mbodziak,0.560 (30),0.541 (23),0.580 (27),
310307,domenicrosati,0.556 (31),0.587 (14),0.528 (28),
311136,bz22RA,0.480 (32),0.502 (31),0.460 (29),
296463,Benjimo,0.330 (33),0.574 (17),0.232 (30),
310391,smajy,0.289 (34),0.551 (20),0.196 (31),
