submission_pk,User,b'AUC score',b'Duration'
93422,Tianbutong,1.0000 (1),0.00 (5),
98577,sjtuH,0.9875 (2),0.00 (6),
69468,mapooon,0.9050 (3),0.00 (3),
85400,liuning,0.8125 (4),0.00 (10),
76297,Bryan,0.7719 (5),0.00 (9),
76340,xwj,0.7338 (6),0.00 (7),
66415,wany,0.6809 (7),0.00 (4),
63865,bob_peng,0.5603 (8),0.00 (8),
63863,qian-long,0.5353 (9),0.00 (1),
79046,JYL,0.5000 (10),0.00 (2),
