submission_pk,User,b'AUC',b'APCER',b'BPCER',b'RANK<ACER>'
334175,CTEL_AI,99.3446 (1),1.6983 (3),1.7004 (3),1.6994 (3),
334216,mt403,99.3290 (2),1.8251 (6),1.8242 (6),1.8246 (6),
335219,OPDAI,99.2871 (3),3.1510 (36),3.1587 (36),3.1548 (36),
325947,BokingChen,99.2786 (4),1.7763 (5),1.7768 (5),1.7765 (5),
332245,wida,99.2497 (5),1.7159 (4),1.7162 (4),1.7161 (4),
333404,MateoH,99.2475 (6),1.6944 (2),1.6952 (2),1.6948 (2),
324234,SevenTY,99.2350 (7),1.8758 (7),1.8742 (7),1.8750 (7),
327701,hexianhua,99.2336 (8),1.6145 (1),1.6162 (1),1.6153 (1),
332218,BJUT_vipl,99.2036 (9),2.0551 (13),2.0558 (13),2.0555 (13),
325642,ShuangpengHan,99.2000 (10),1.9615 (8),1.9610 (8),1.9613 (8),
334925,CookieCS,99.1637 (11),2.0161 (11),2.0190 (11),2.0175 (11),
332567,VisionLabs,99.1463 (12),2.2072 (16),2.2085 (16),2.2079 (16),
333313,Rizzz,99.1412 (13),2.4315 (23),2.4322 (23),2.4318 (23),
321297,fruitai,99.1308 (14),2.2306 (18),2.2295 (18),2.2301 (18),
332836,ywc,99.1258 (15),2.2228 (17),2.2243 (17),2.2235 (17),
322835,lch_bupt,99.1074 (16),2.3437 (20),2.3427 (20),2.3432 (20),
332000,Liteling,99.1062 (17),2.3632 (21),2.3638 (21),2.3635 (21),
335225,zjukongming,99.1025 (18),2.3281 (19),2.3269 (19),2.3275 (19),
319195,O-Sullivan,99.0632 (19),2.1897 (15),2.1901 (15),2.1899 (15),
328667,SeaRecluse,99.0153 (20),2.9501 (33),2.9481 (33),2.9491 (33),
321155,dingzhensichuan,98.9993 (21),2.4685 (24),2.4691 (24),2.4688 (24),
333689,Teddy12155555,98.9970 (22),2.6186 (29),2.6217 (29),2.6202 (29),
334947,XiangR,98.9946 (23),2.6576 (30),2.6586 (30),2.6581 (30),
335249,changzig,98.9846 (24),2.0298 (12),2.0295 (12),2.0296 (12),
332617,ChenYifan,98.9660 (25),2.5290 (26),2.5296 (26),2.5293 (26),
325204,KS,98.9331 (26),2.5348 (27),2.5322 (27),2.5335 (27),
332997,fangn,98.9318 (27),2.8604 (32),2.8586 (32),2.8595 (32),
332590,tianyizheng,98.9233 (28),1.9947 (10),1.9953 (9),1.9950 (9),
334326,burning233,98.9149 (29),2.4997 (25),2.4980 (25),2.4989 (25),
333617,TECHSIGN,98.8650 (30),2.8078 (31),2.8034 (31),2.8056 (31),
316748,buccellati,98.8472 (31),2.3788 (22),2.3769 (22),2.3779 (22),
322502,sakulairomauu,98.8445 (32),2.1429 (14),2.1400 (14),2.1415 (14),
333647,ioNetworks,98.8394 (33),3.1822 (37),3.1824 (37),3.1823 (37),
317460,quannxa_ftai,98.8354 (34),2.6011 (28),2.6033 (28),2.6022 (28),
332663,SaranyanM,98.7270 (35),3.1022 (34),3.1034 (34),3.1028 (34),
331623,hanry.ham,98.7008 (36),3.4181 (38),3.4141 (38),3.4161 (38),
326008,mulianrui,98.6356 (37),3.1471 (35),3.1482 (35),3.1476 (35),
335332,ekaterina_ovision,98.4370 (38),4.2526 (39),4.2511 (39),4.2519 (39),
330666,horsego,98.3731 (39),1.9908 (9),2.0032 (10),1.9970 (10),
320389,AjianLiu,98.1719 (40),4.8122 (40),4.8118 (40),4.8120 (40),
326242,yukuner,97.2267 (41),7.2066 (42),7.2072 (42),7.2069 (42),
331810,EEEmpty,96.1882 (42),4.9253 (41),4.9250 (41),4.9252 (41),
327028,huyquoctrinh,95.8625 (43),9.0317 (43),9.0340 (43),9.0328 (43),
