submission_pk,User,b'AP',b'AP IoU.50',b'AP IoU=.75',b'AP small',b'AP medium',b'AP large',b'AR max=1',b'AR max=10',b'AR max=100',b'AR small',b'AR medium',b'AR large'
55170,AnLab,0.51 (1),0.75 (1),0.56 (1),0.19 (1),0.40 (1),0.61 (1),0.45 (1),0.58 (1),0.59 (1),0.29 (1),0.50 (1),0.69 (1),
474196,zhaoshuxuan,0.48 (2),0.68 (2),0.53 (2),0.14 (2),0.34 (2),0.61 (1),0.42 (2),0.53 (2),0.53 (2),0.18 (2),0.40 (2),0.67 (2),
