submission_pk,User,b'Global IoU',b'Global IoU Bean',b'Global IoU Maize'
96176,Rich_Li,0.68 (1),0.67 (1),0.69 (1),
110043,ru_willow,0.63 (2),0.60 (2),0.66 (2),
89493,xindima19980501,0.42 (3),0.39 (3),0.44 (4),
93082,johnny_373,0.41 (4),0.38 (4),0.44 (3),
