submission_pk,User,b'MAIN_SYS_SRCC',b'MAIN_UTT_MSE',b'MAIN_UTT_SRCC',b'MAIN_SYS_MSE',b'OOD_SYS_SRCC',b'OOD_UTT_MSE',b'OOD_UTT_SRCC',b'OOD_SYS_MSE'
77865,xiaohaitian,0.941 (1),0.177 (1),0.891 (1),0.072 (1),0.987 (1),0.164 (1),0.893 (1),0.027 (1),
75384,hearing,0.940 (2),0.243 (3),0.881 (4),0.104 (2),0.984 (2),0.367 (3),0.884 (2),0.226 (3),
62717,shinnosuke,0.940 (3),0.248 (4),0.883 (3),0.112 (3),0.000 (5),100.000 (5),0.000 (5),100.000 (5),
208563,oplatek,0.935 (4),0.263 (5),0.889 (2),0.215 (6),0.937 (3),0.488 (4),0.855 (4),0.338 (4),
60548,bond005,0.916 (5),0.220 (2),0.860 (5),0.114 (4),0.929 (4),0.216 (2),0.870 (3),0.066 (2),
99495,smart_moon,0.873 (6),0.334 (6),0.785 (6),0.178 (5),0.000 (5),100.000 (5),0.000 (5),100.000 (5),
