submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
160809,chenmigongzuo,23.6677 (1),- (-),120.00 (17),0.00 (3),1.00 (1),
160820,jetblock,23.5731 (2),- (-),140.00 (18),0.00 (3),1.00 (1),
161892,YuZhu,23.5597 (3),- (-),80.40 (16),0.00 (3),0.00 (2),
162245,Libc,23.5085 (4),- (-),19.20 (13),0.00 (3),1.00 (1),
160936,haha,23.5085 (4),- (-),18.00 (12),0.00 (3),1.00 (1),
168575,jin1125,23.4946 (5),- (-),24.00 (14),0.00 (3),1.00 (1),
160641,mingxi,23.4545 (6),- (-),10.43 (11),0.00 (3),1.00 (1),
160717,AlexZou,23.4249 (7),- (-),10.00 (10),0.00 (3),1.00 (1),
161841,deepernewbie,23.4239 (8),- (-),1.50 (4),3000000.00 (1),1.00 (1),
160698,ACALJJ32,23.3951 (9),- (-),2.82 (6),0.00 (3),1.00 (1),
161786,joonheelee,23.3592 (10),- (-),4.50 (9),0.00 (3),0.00 (2),
161487,sisyphus4869,23.3276 (11),- (-),1.70 (5),0.00 (3),0.00 (2),
161503,jzsherlock,23.3250 (12),- (-),1.70 (5),0.00 (3),0.00 (2),
161475,luodengyan,23.2911 (13),- (-),2.98 (8),0.00 (3),0.00 (2),
161103,Liuhan,23.2828 (14),- (-),0.00 (2),0.00 (3),0.00 (2),
162100,kh0002,23.1806 (15),- (-),0.83 (3),0.00 (3),1.00 (1),
160705,Una,23.1267 (16),- (-),39.48 (15),1.00 (2),0.00 (2),
161085,wyy,23.0814 (17),- (-),2.90 (7),0.00 (3),0.00 (2),
160622,RenYang,22.2420 (18),- (-),-1.00 (1),-1.00 (4),-1.00 (3),
