submission_pk,User,b'Nearest Neighbor',b'Precision-at-10',b'NDCG',b'mAP'
364404,nhatquynh,0.460000 (1),0.238000 (1),0.646577 (1),0.524839 (1),
491609,nghiemkythu,0.420000 (2),0.216000 (2),0.624259 (2),0.471267 (2),
362210,thphong99,0.280000 (3),0.182000 (3),0.548956 (3),0.385757 (3),
343628,nero,0.100000 (4),0.098000 (4),0.397607 (4),0.182930 (4),
364627,minhkhoi1026,0.000000 (5),0.016000 (5),0.222118 (5),0.037232 (5),
