submission_pk,User,b'ROC AUC score'
141731,tak,0.9142 (1),
142445,harelr,0.9102 (2),
138717,Room722,0.8988 (3),
142635,sarg,0.8986 (4),
142164,devnikhilmishra,0.8977 (5),
142502,TrueFit,0.8921 (6),
136513,Wafi,0.8816 (7),
109664,Ido_Ikar,0.8782 (8),
140716,lyzi,0.8762 (9),
114723,ouranos,0.8685 (10),
134264,grolnik,0.8646 (11),
125134,orkorn,0.8625 (12),
141440,victthor,0.8608 (13),
116168,Tortorelli,0.8572 (14),
141605,danl,0.8570 (15),
141964,Shivacodalab,0.8560 (16),
107211,Bareket_A,0.8525 (17),
142246,ShayTeam,0.8515 (18),
120240,Nach,0.8489 (19),
112380,Twix,0.8481 (20),
130804,GA,0.8463 (21),
89157,GumJum,0.8444 (22),
137079,eladcoh3,0.8387 (23),
141266,anindabitm,0.8351 (24),
108232,NoamLhiyani,0.8295 (25),
109776,asdfdsf,0.8219 (26),
125719,ErezGilat21,0.8168 (27),
141152,zahilaty,0.8159 (28),
121065,skaak,0.8107 (29),
124221,Benoul,0.8093 (30),
117031,CameleoGrey,0.8036 (31),
122185,Neo87c,0.8035 (32),
115573,nat,0.7997 (33),
96276,ryanv777,0.7990 (34),
108797,shayanrc,0.7974 (35),
108975,Stregolev,0.7941 (36),
123809,Stash,0.7934 (37),
139269,tomy4reel,0.7921 (38),
103774,vstark21,0.7888 (39),
103654,dev,0.7882 (40),
99390,captalpha,0.7865 (41),
131404,picaso,0.7864 (42),
130607,someone-named-who,0.7853 (43),
99072,Suman,0.7852 (44),
113126,niksss,0.7824 (45),
93672,doronser,0.7799 (46),
141005,Prachi,0.7795 (47),
115063,liordanon,0.7774 (48),
110859,shatz,0.7764 (49),
94175,mathurin,0.7702 (50),
97300,Danyel,0.7686 (51),
106915,gfreund,0.7674 (52),
110669,roy650,0.7635 (53),
97639,doronb,0.7605 (54),
107932,adityakamal,0.7591 (55),
129888,mkmworld,0.7563 (56),
141245,schtefanos,0.7561 (57),
99295,kancharlavamshi,0.7556 (58),
133775,dnyaneshwalwadkar,0.7404 (59),
115909,josevicente,0.7404 (59),
115320,segevs,0.7404 (59),
111042,Felipe_Wanderley,0.7404 (59),
108499,yairb,0.7404 (59),
102477,Ronen4294,0.7404 (59),
101246,mazharsaif,0.7404 (59),
99349,zemmyang,0.7404 (59),
93731,GTnano,0.7404 (59),
93127,RiekertCodes,0.7404 (59),
142350,bumpapachi,0.7366 (60),
142366,ddhn,0.7348 (61),
107861,AlpiBot,0.7340 (62),
139381,ddp,0.7331 (63),
138118,sentit,0.7120 (64),
92304,danitgino,0.7016 (65),
132212,GusTTShowbiz,0.6860 (66),
135657,mrobbesaule2,0.6741 (67),
90907,RanchHunter,0.6663 (68),
138589,RGabay,0.6434 (69),
101406,lionb,0.6123 (70),
107248,whyphy,0.5995 (71),
98690,avig,0.5982 (72),
111693,OfirN,0.5892 (73),
105497,nirbenda,0.5711 (74),
120035,noam_katz,0.5361 (75),
136960,Icees8,0.5000 (76),
136374,ShaiShlomai,0.5000 (76),
104000,jam139,0.4923 (77),
104557,whyfy,0.3741 (78),
108011,Orielpi,0.3596 (79),
