submission_pk,User,b'auc'
408581,fvillena,0.94 (1),
408451,cristopher.urbina.h,0.94 (2),
422544,procesamiento_con_sabor_a_mote_con_huesillo,0.92 (3),
400305,rorrog,0.92 (4),
422645,r.navarro,0.92 (5),
421983,Ny_Little_Ponny,0.91 (6),
422675,alkzar90,0.91 (7),
422757,LuisGutierrezG,0.91 (8),
422092,JVM,0.91 (9),
422826,Gerard-and-JP,0.90 (10),
409657,tbanduc,0.90 (11),
412122,Perritos_lokos_buenos_pal_Token,0.90 (12),
422694,LuchoTax,0.90 (13),
411085,bchinchon,0.90 (14),
421921,KND-1,0.90 (15),
422704,felipejorquera,0.90 (16),
420911,TitanesDelLenguaje,0.89 (17),
422836,NicoCabello,0.89 (18),
412095,bpena,0.89 (19),
404212,grojas,0.89 (20),
422834,daviidmparedes,0.89 (21),
410788,ekisde,0.89 (22),
422670,CarlosBriones,0.89 (23),
422786,isfernan,0.89 (24),
422811,SapoPulento,0.88 (25),
411003,Kuanki1,0.88 (26),
422766,ElectroLinguists,0.88 (27),
422765,NaiveBasados,0.87 (28),
382877,Competencias-CC6205,0.87 (29),
411070,cfm96,0.87 (30),
407890,pedro_maldonado_contardo,0.86 (31),
423662,santiagomaass,0.83 (32),
423353,pakapro,0.50 (33),
submission_pk,User,b'kappa'
408451,cristopher.urbina.h,0.74 (1),
422645,r.navarro,0.73 (2),
400305,rorrog,0.72 (3),
422092,JVM,0.71 (4),
408581,fvillena,0.71 (5),
422544,procesamiento_con_sabor_a_mote_con_huesillo,0.70 (6),
421983,Ny_Little_Ponny,0.68 (7),
412122,Perritos_lokos_buenos_pal_Token,0.68 (8),
422757,LuisGutierrezG,0.68 (9),
422675,alkzar90,0.67 (10),
422694,LuchoTax,0.66 (11),
409657,tbanduc,0.66 (12),
404212,grojas,0.66 (13),
422826,Gerard-and-JP,0.66 (14),
412095,bpena,0.65 (15),
421921,KND-1,0.65 (16),
422834,daviidmparedes,0.65 (17),
422704,felipejorquera,0.65 (18),
410788,ekisde,0.65 (19),
422836,NicoCabello,0.65 (20),
420911,TitanesDelLenguaje,0.65 (21),
422786,isfernan,0.64 (22),
422766,ElectroLinguists,0.64 (23),
422670,CarlosBriones,0.64 (24),
411085,bchinchon,0.64 (25),
422811,SapoPulento,0.62 (26),
411070,cfm96,0.62 (27),
411003,Kuanki1,0.62 (28),
422765,NaiveBasados,0.57 (29),
407890,pedro_maldonado_contardo,0.57 (30),
382877,Competencias-CC6205,0.54 (31),
423662,santiagomaass,0.50 (32),
423353,pakapro,0.00 (33),
submission_pk,User,b'accuracy'
408451,cristopher.urbina.h,0.83 (1),
422645,r.navarro,0.82 (2),
400305,rorrog,0.82 (3),
422092,JVM,0.82 (4),
408581,fvillena,0.81 (5),
422544,procesamiento_con_sabor_a_mote_con_huesillo,0.81 (6),
421983,Ny_Little_Ponny,0.80 (7),
422757,LuisGutierrezG,0.80 (8),
412122,Perritos_lokos_buenos_pal_Token,0.79 (9),
422675,alkzar90,0.79 (10),
409657,tbanduc,0.79 (11),
422694,LuchoTax,0.79 (12),
404212,grojas,0.78 (13),
422826,Gerard-and-JP,0.78 (14),
412095,bpena,0.78 (15),
422834,daviidmparedes,0.78 (16),
422704,felipejorquera,0.78 (17),
422836,NicoCabello,0.78 (18),
421921,KND-1,0.78 (18),
410788,ekisde,0.78 (18),
420911,TitanesDelLenguaje,0.78 (19),
422786,isfernan,0.77 (20),
411085,bchinchon,0.77 (21),
422766,ElectroLinguists,0.77 (22),
422670,CarlosBriones,0.77 (23),
422811,SapoPulento,0.76 (24),
411070,cfm96,0.76 (25),
411003,Kuanki1,0.76 (26),
422765,NaiveBasados,0.74 (27),
407890,pedro_maldonado_contardo,0.72 (28),
382877,Competencias-CC6205,0.72 (29),
423662,santiagomaass,0.67 (30),
423353,pakapro,0.35 (31),
