submission_pk,User,b'Kappa',b'F1',b'Specificity',b'Average',b'CPU Time'
493332,SC_Liu,0.4154 (1),0.6122 (2),0.8444 (1),0.6240 (1),1.1756 (8),
430562,harry6liu,0.4026 (2),0.6146 (1),0.8111 (3),0.6095 (2),0.5368 (7),
492963,hrdc,0.3958 (3),0.6030 (3),0.8278 (2),0.6089 (3),0.0976 (1),
420723,Parikshit,0.3958 (3),0.6030 (3),0.8278 (2),0.6089 (3),0.4745 (6),
463954,jusiro,0.3109 (4),0.5619 (4),0.7611 (5),0.5446 (4),0.1638 (3),
461036,urielnguefack,0.2558 (5),0.5000 (6),0.8000 (4),0.5186 (5),0.3465 (5),
467297,Schroeder,0.1823 (6),0.4932 (7),0.6833 (6),0.4529 (6),0.2317 (4),
442238,pakapro,0.0000 (7),0.5455 (5),0.0000 (7),0.1818 (7),0.1018 (2),
