submission_pk,User,b'AUC score',b'Duration'
101802,xwj,0.9618 (1),0.01 (15),
99540,walk_at_zoo,0.9599 (2),0.01 (8),
101650,Bryan,0.9571 (3),0.01 (22),
102104,leobryan,0.9565 (4),0.01 (7),
101732,HanChen,0.9521 (5),0.01 (18),
101906,guanjz,0.9483 (6),0.02 (26),
101072,shuaigui,0.9344 (7),0.01 (19),
102074,OPDAI,0.9297 (8),0.01 (10),
102016,wany,0.9078 (9),0.01 (23),
98499,sxds,0.9046 (10),0.01 (20),
101123,xiaoluohao,0.8988 (11),0.01 (6),
100205,jiachenlei,0.8666 (12),0.01 (21),
100663,GDUT,0.7996 (13),0.01 (14),
100662,mapooon,0.7851 (14),0.00 (1),
102124,samils7,0.7260 (15),0.01 (5),
98932,Tianbutong,0.7242 (16),0.01 (9),
98868,bowen,0.7236 (17),0.01 (24),
100383,UNILJ-FRI-LRV-FE-LSI,0.7012 (18),0.01 (11),
96986,SYF,0.6642 (19),0.01 (25),
95175,scut_maple,0.6576 (20),0.01 (4),
99576,Kolami,0.6482 (21),0.01 (3),
96343,JYL,0.6380 (22),0.00 (2),
95763,chinatelecom_cv,0.6183 (23),0.01 (13),
95000,yzx835,0.5998 (24),0.01 (17),
101117,Tesseract,0.5898 (25),0.01 (12),
93948,bob_peng,0.5235 (26),0.01 (16),
