submission_pk,User,b'Accuracy'
245647,USTC-IAT-United,98.64 (1),
124284,lnyang,92.54 (2),
75497,sislab,78.92 (3),
107237,tangjy149,75.79 (4),
112750,king,74.80 (5),
107702,u7355608,70.08 (6),
107703,wujiekd,69.95 (7),
112755,Marry,69.56 (8),
103665,zhangteng,68.38 (9),
127241,BiBiKo,66.08 (10),
107260,test22,63.18 (11),
100181,seesee,51.97 (12),
114522,Try_one_Try,46.72 (13),
76057,simplexsigil,44.50 (14),
