submission_pk,User,b'Overall Accuracy',b'Instance IoU'
184269,lvseng.zf,0.904 (1),0.000 (1),
184239,zhulf0804,0.865 (2),0.000 (1),
184409,wangjie123,0.840 (3),0.000 (1),
178179,xiaoluohao,0.824 (4),0.000 (1),
160471,PointCloud-C,0.797 (5),0.000 (1),
182010,YuanTang_hust,0.575 (6),0.000 (1),
