submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
160606,pavelost,24.1483 (1),- (-),0.00 (2),1.00 (1),0.00 (1),
141834,NTIRE22_winner_method,23.6787 (2),- (-),-1.00 (1),-1.00 (3),-1.00 (2),
154136,hasaki,23.4219 (3),- (-),-1.00 (1),0.00 (2),-1.00 (2),
154078,keep888,23.4216 (4),- (-),-1.00 (1),-1.00 (3),-1.00 (2),
160487,ming_cheng,23.4211 (5),- (-),0.00 (2),1.00 (1),0.00 (1),
143885,Jingzhu_Tang,23.3576 (6),- (-),-1.00 (1),-1.00 (3),-1.00 (2),
155898,Chi,22.5338 (7),- (-),0.00 (2),1.00 (1),0.00 (1),
160551,claudiom4sir,22.5301 (8),- (-),0.00 (2),0.00 (2),0.00 (1),
144694,luodengyan,22.5295 (9),- (-),0.00 (2),1.00 (1),0.00 (1),
151308,avengers,22.4408 (10),- (-),-1.00 (1),-1.00 (3),-1.00 (2),
159998,ACALJJ32,22.3918 (11),- (-),0.00 (2),1.00 (1),0.00 (1),
156116,RenYang,22.2385 (12),- (-),0.00 (2),1.00 (1),0.00 (1),
