submission_pk,User,b'Error rate',b'Memory usage (MiB)',b'CPU time (ms)',b'Score'
415732,EdiMuskardin,0.0083787 (1),133.00 (2),0.059 (3),0.0854677 (1),
408184,neuralchecker,0.0219941 (2),186.00 (6),0.086 (4),0.1246985 (2),
395259,kawa_yo,0.2899036 (3),104.00 (1),0.025 (1),0.2083020 (3),
412745,david_dinucu_jianu,0.2899036 (3),140.00 (3),0.052 (2),0.2304145 (4),
358831,r.hakimi,0.7100964 (4),162.00 (4),0.153 (5),0.4548389 (5),
350158,TAYSIR-Baseline,0.7100964 (4),164.00 (5),0.164 (6),0.4561645 (6),
