submission_pk,User,b'Overall',b'J_seen',b'J_unseen',b'F_seen',b'F_unseen'
120966,Thursday_Group,0.872 (1),0.855 (1),0.817 (5),0.914 (1),0.903 (2),
120924,Salted_Fish1,0.870 (2),0.847 (3),0.825 (1),0.903 (2),0.907 (1),
120953,ux,0.867 (3),0.844 (6),0.819 (2),0.903 (3),0.903 (3),
120981,zjmagicworld,0.862 (4),0.841 (11),0.816 (9),0.895 (10),0.896 (9),
120932,whc,0.862 (5),0.840 (14),0.818 (3),0.894 (13),0.896 (10),
120996,Wing000,0.862 (6),0.840 (15),0.818 (4),0.894 (14),0.896 (7),
120893,mryyyds1,0.862 (7),0.841 (10),0.809 (24),0.899 (7),0.897 (6),
120875,Ohayo,0.862 (7),0.841 (10),0.809 (24),0.899 (7),0.897 (6),
120900,swt,0.862 (7),0.841 (10),0.809 (24),0.899 (7),0.897 (6),
120999,gogo,0.861 (8),0.847 (4),0.808 (29),0.901 (5),0.890 (29),
120741,hkchengrex,0.861 (9),0.841 (9),0.816 (8),0.893 (15),0.895 (12),
119783,haochenwang,0.861 (10),0.840 (13),0.817 (6),0.894 (12),0.893 (13),
120973,SUtech,0.861 (11),0.847 (2),0.808 (31),0.901 (4),0.888 (36),
120940,happyday,0.860 (12),0.846 (5),0.807 (34),0.900 (6),0.888 (35),
120970,supergirl,0.860 (12),0.846 (5),0.807 (34),0.900 (6),0.888 (35),
120927,goodJob,0.860 (13),0.844 (7),0.807 (35),0.898 (8),0.889 (30),
120684,sz,0.857 (14),0.831 (22),0.815 (11),0.886 (24),0.896 (8),
120965,ng,0.857 (15),0.834 (18),0.812 (14),0.889 (19),0.892 (15),
120079,dddd,0.857 (16),0.825 (43),0.816 (10),0.884 (34),0.901 (4),
120747,fighting,0.856 (17),0.840 (12),0.805 (37),0.895 (11),0.886 (39),
119039,niceLQ,0.856 (18),0.824 (48),0.817 (7),0.882 (42),0.901 (5),
115957,XMem.,0.856 (19),0.834 (19),0.809 (25),0.889 (18),0.891 (21),
120846,PinxueGuo,0.856 (20),0.832 (21),0.812 (17),0.887 (21),0.892 (16),
120658,stmvos22,0.855 (21),0.841 (8),0.801 (41),0.896 (9),0.882 (47),
116852,happytodayma,0.855 (22),0.829 (29),0.810 (23),0.885 (25),0.896 (11),
120864,hermiton1,0.854 (23),0.829 (31),0.813 (12),0.881 (43),0.893 (14),
119977,zjhcwhk,0.854 (24),0.831 (23),0.808 (30),0.886 (22),0.890 (28),
120195,XX,0.854 (25),0.830 (24),0.808 (33),0.886 (23),0.891 (19),
120087,j7991,0.854 (26),0.829 (27),0.809 (27),0.885 (26),0.891 (23),
120148,AUb,0.854 (27),0.828 (37),0.812 (15),0.883 (36),0.891 (20),
119174,tomorrow,0.853 (28),0.828 (36),0.811 (18),0.884 (35),0.891 (18),
120937,xmem..,0.853 (29),0.829 (30),0.809 (26),0.885 (28),0.890 (27),
120193,COVID-19,0.853 (30),0.829 (28),0.808 (32),0.885 (27),0.890 (26),
119198,ERM,0.853 (31),0.827 (38),0.813 (13),0.883 (39),0.891 (17),
