submission_pk,User,b'AP',b'AP_categ',b'AP_descr',b'AP_descr_pos',b'AP_descr_S',b'AP_descr_M',b'AP_descr_L'
451133,l_harold,0.3089 (1),0.3075 (3),0.3103 (1),0.4118 (1),0.4931 (1),0.2836 (1),0.1997 (1),
453491,tuyentx,0.2787 (2),0.3465 (1),0.2330 (2),0.3484 (2),0.3965 (2),0.2079 (2),0.1293 (2),
415410,THU_team,0.2578 (3),0.3292 (2),0.2119 (3),0.3323 (3),0.3766 (3),0.1892 (3),0.1074 (3),
405107,xiaofeng94,0.1935 (4),0.2363 (5),0.1638 (4),0.2575 (4),0.2943 (7),0.1484 (4),0.0815 (4),
415308,Runoobxx,0.1934 (5),0.2362 (6),0.1638 (5),0.2575 (5),0.2944 (6),0.1484 (5),0.0814 (6),
454273,twangnh,0.1934 (6),0.2362 (7),0.1638 (6),0.2575 (6),0.2944 (5),0.1483 (6),0.0815 (5),
405125,omnilabel,0.1933 (7),0.2367 (4),0.1634 (7),0.2572 (7),0.2947 (4),0.1480 (7),0.0811 (7),
414504,YouTu_TX,0.0165 (8),0.0213 (8),0.0135 (8),0.0215 (8),0.0128 (8),0.0135 (8),0.0091 (8),
415646,USTC-IAT-United,0.0000 (9),0.0000 (9),0.0000 (9),0.0000 (9),0.0000 (9),0.0000 (9),0.0000 (9),
