submission_pk,User,b'Prediction score',b'Duration'
411444,ymzhang,1.0000 (1),- (-),
403569,ChenxiCui,1.0000 (1),- (-),
415433,WenX-Yuan,0.9974 (2),- (-),
415216,gkdx2,0.9949 (3),- (-),
413309,wyww,0.9112 (4),- (-),
413226,HHuang,0.6950 (5),- (-),
403045,hecho,0.6049 (6),- (-),
410131,ZhangMinjie,0.3320 (7),- (-),
401206,ouninnyuki,0.3320 (7),- (-),
393998,marukosan,0.3320 (7),- (-),
409588,YiqingHuang,0.3282 (8),- (-),
401547,Rudaosong,0.3282 (8),- (-),
404103,USTC-AC,0.3166 (9),- (-),
406071,panhang,0.3050 (10),- (-),
