submission_pk,User,b'PSNR',b'SSIM'
383286,ZHZhao,22.213 (1),0.74928 (1),
383854,chm,21.832 (2),0.74927 (2),
379986,BingXi,21.252 (3),0.73906 (3),
381653,QuangTran,20.683 (4),0.69064 (8),
382062,karthik_gen9,20.487 (5),0.68864 (9),
369215,Bailey,20.330 (6),0.72128 (5),
384237,avengers,20.001 (7),0.72527 (4),
381962,changao,19.808 (8),0.67254 (10),
383869,hrishikeshps94,19.199 (9),0.70027 (6),
380687,jsyoon,18.163 (10),0.69214 (7),
