submission_pk,User,b'MAE score'
141282,harelr,0.4431 (1),
142673,skaak,0.4472 (2),
142735,ouranos,0.4878 (3),
98347,Bareket_A,0.5163 (4),
141986,danl,0.5244 (5),
141639,devnikhilmishra,0.5285 (6),
130650,tak,0.5447 (7),
136506,zahilaty,0.5488 (8),
100326,TrueFit,0.5488 (8),
141260,Shivacodalab,0.5528 (9),
119497,NoamLhiyani,0.5691 (10),
109518,lyzi,0.5772 (11),
136693,eladcoh3,0.5813 (12),
137465,Room722,0.5854 (13),
113726,Twix,0.5976 (14),
102882,vstark21,0.6463 (15),
138224,sarg,0.6626 (16),
99019,Suman,0.6626 (16),
114278,ErezGilat21,0.6667 (17),
86421,TomerMe,0.6707 (18),
136797,tomy4reel,0.6829 (19),
124899,mrobbesaule2,0.6911 (20),
142414,ShayTeam,0.6951 (21),
107488,codasiom,0.7114 (22),
113791,nat,0.7276 (23),
141981,schtefanos,0.7317 (24),
109410,yairb,0.7317 (24),
105820,apenon,0.7317 (24),
96692,mathurin,0.8252 (25),
130793,Tortorelli,0.8699 (26),
106737,Nischay27,0.8780 (27),
125196,ddhn,0.9146 (28),
98696,Danyel,0.9512 (29),
141960,Prachi,1.2683 (30),
131407,picaso,1.2683 (30),
131394,someone-named-who,1.2683 (30),
