submission_pk,User,b'Gaze Error',b'Gaze Error Standard Deviation'
275298,mhpour,1.85 (1),1.98 (1),
222738,aruzzi,2.04 (2),2.10 (2),
211123,ETH-XGaze-Baseline,2.04 (2),2.10 (2),
213653,Lingyu,2.22 (3),2.44 (3),
444913,pakapro,45.34 (4),20.86 (4),
