submission_pk,User,b'PSNR',b'SSIM',b'LPIPS',b'KLD'
155217,m-wq,36.93901 (1),0.96176 (4),0.08437 (1),0.03344 (2),
154208,jzsherlock,36.65812 (2),0.96196 (3),0.11154 (4),0.05011 (4),
153818,wzh123456,36.60890 (3),0.96341 (2),0.10950 (3),0.06812 (6),
141770,ssszzz,36.55338 (4),0.96375 (1),0.11938 (5),0.03291 (1),
155277,jiangchengzhi,36.54878 (5),0.95934 (6),0.10333 (2),0.03562 (3),
142785,ngx2333,35.65381 (6),0.95972 (5),0.12843 (6),0.06972 (7),
122646,jhtwosun,34.47163 (7),0.95087 (7),0.14360 (7),0.05740 (5),
144689,bing2001,32.64082 (8),0.92625 (8),0.16167 (8),0.07538 (8),
122683,jnjaby,30.14937 (9),0.80482 (11),0.30372 (10),0.16021 (10),
143952,ruoruo,29.24917 (10),0.89843 (9),0.26798 (9),0.11466 (9),
143107,bing0123,15.37253 (11),0.88064 (10),0.43522 (11),0.53885 (11),
140175,CVRG,12.42925 (12),0.71263 (12),0.66736 (12),1.87350 (12),
139300,ShireLiu,7.32415 (13),0.00317 (13),0.96276 (13),10.35474 (13),
