submission_pk,User,b'PSNR(Y)',b'PSNR(RGB)',b'SSIM(Y)',b'SSIM(RGB)'
72222,Piggy,25.6943 (1),24.1226 (1),0.7729 (1),0.7564 (1),
72044,TomTomTommi,25.5907 (5),24.0357 (4),0.7701 (3),0.7563 (2),
71278,chainey,25.6405 (3),24.0746 (3),0.7711 (2),0.7551 (3),
72070,p66,25.5131 (10),23.9550 (9),0.7691 (4),0.7544 (4),
71119,daicver,25.5212 (9),23.9619 (8),0.7687 (5),0.7541 (5),
72097,salientman,25.6498 (2),24.0907 (2),0.7691 (4),0.7535 (6),
69488,mayorx,25.5449 (7),23.9868 (6),0.7665 (7),0.7527 (7),
72422,hxxiao,25.4872 (11),23.9256 (10),0.7665 (7),0.7518 (8),
70738,LCLL,25.5481 (6),24.0038 (5),0.7638 (8),0.7510 (9),
66616,bitadder,25.3698 (15),23.8785 (13),0.7674 (6),0.7507 (10),
70146,ming_cheng,25.4615 (12),23.9003 (12),0.7633 (9),0.7486 (11),
71079,caopulan,25.5273 (8),23.9772 (7),0.7624 (10),0.7482 (12),
47183,codyshen,25.3948 (14),23.8284 (15),0.7610 (12),0.7458 (13),
43495,kkp,25.4308 (13),23.8732 (14),0.7600 (13),0.7453 (14),
54979,huxiaotaostasy,25.3615 (16),23.7983 (16),0.7615 (11),0.7452 (15),
47895,linjx,25.2940 (18),23.7327 (19),0.7586 (15),0.7442 (16),
69505,gdut-506,25.2940 (18),23.7320 (20),0.7578 (16),0.7429 (17),
55976,YWww,25.2788 (20),23.7151 (22),0.7590 (14),0.7428 (18),
69179,ajl0613,25.3150 (17),23.7497 (17),0.7574 (17),0.7426 (19),
51775,Zhang9678,25.2664 (22),23.7007 (24),0.7573 (18),0.7420 (20),
54158,haowei,25.2521 (24),23.6893 (25),0.7566 (19),0.7416 (21),
64607,wind,25.2023 (27),23.6320 (30),0.7573 (18),0.7414 (22),
70472,lc_66666,25.2819 (19),23.7421 (18),0.7542 (20),0.7410 (23),
70466,loveletter,25.2819 (19),23.7421 (18),0.7542 (20),0.7410 (23),
70460,Dawns,25.2819 (19),23.7421 (18),0.7542 (20),0.7410 (23),
42759,knight,25.2616 (23),23.7017 (23),0.7539 (21),0.7391 (24),
70767,Adam,25.2685 (21),23.7208 (21),0.7530 (22),0.7384 (25),
69354,Xy_Chen,25.2218 (25),23.6669 (26),0.7524 (23),0.7377 (26),
63539,zjx7906,25.5961 (4),23.9181 (11),0.7600 (13),0.7366 (27),
51801,wqj,25.1886 (28),23.6360 (29),0.7512 (24),0.7366 (27),
58495,hsguo,25.1871 (29),23.6362 (28),0.7512 (24),0.7365 (28),
47590,ACALJJ32,25.1092 (33),23.5404 (34),0.7512 (24),0.7340 (29),
46678,YuruiZhu,25.1368 (32),23.5693 (33),0.7512 (24),0.7340 (29),
70583,baseline,25.1737 (30),23.6142 (31),0.7490 (27),0.7339 (30),
49191,MDSWYZ,25.1421 (31),23.5878 (32),0.7489 (28),0.7339 (30),
68411,Xman,25.2062 (26),23.6556 (27),0.7493 (25),0.7331 (31),
64043,huapohen,25.0915 (34),23.5196 (36),0.7493 (25),0.7327 (32),
48331,HaoqiangYang,24.4134 (59),22.8827 (60),0.7491 (26),0.7326 (33),
71895,qylen,25.0233 (39),23.4593 (40),0.7480 (30),0.7324 (34),
57617,tql520,25.0168 (40),23.4517 (41),0.7486 (29),0.7323 (35),
45321,MakeStereoSRGreatAgain,25.0711 (37),23.5192 (37),0.7469 (32),0.7320 (36),
68919,phc,25.0447 (38),23.4770 (39),0.7477 (31),0.7316 (37),
63135,orangetaste22,25.0722 (36),23.5097 (38),0.7465 (33),0.7301 (38),
44525,LMAO,25.0750 (35),23.5269 (35),0.7444 (34),0.7299 (39),
52278,jzsherlock,24.9798 (43),23.4050 (44),0.7437 (35),0.7278 (40),
72157,lihb,24.9878 (42),23.4297 (43),0.7423 (38),0.7268 (41),
72011,lmquan,24.9680 (44),23.3958 (45),0.7436 (36),0.7267 (42),
47839,Jacozy,24.9677 (45),23.3955 (46),0.7436 (36),0.7266 (43),
59093,bkdlrb123,24.8949 (47),23.3257 (48),0.7412 (40),0.7245 (44),
42300,onefool,24.9046 (46),23.3321 (47),0.7418 (39),0.7244 (45),
66192,mbkotori,24.8855 (50),23.3114 (51),0.7396 (42),0.7232 (46),
65908,KerrChen,24.8887 (49),23.3170 (49),0.7399 (41),0.7226 (47),
44492,dpc,24.8914 (48),23.3154 (50),0.7396 (42),0.7224 (48),
45978,mialgo_ls,24.8641 (51),23.3036 (52),0.7380 (43),0.7223 (49),
47517,One,24.8348 (53),23.2813 (53),0.7368 (44),0.7201 (50),
53149,SRH,24.8063 (54),23.2544 (55),0.7364 (45),0.7198 (51),
47240,tulip,24.8394 (52),23.2750 (54),0.7339 (46),0.7180 (52),
52520,helloful,24.9885 (41),23.4478 (42),0.7426 (37),0.7178 (53),
68776,featurex,24.6965 (57),23.1442 (58),0.7325 (47),0.7154 (54),
52262,zhangjiaqing,24.7164 (56),23.1548 (57),0.7309 (48),0.7121 (55),
45900,q760019473,24.8022 (55),23.2272 (56),0.7279 (49),0.7091 (56),
49697,elsting,24.6701 (58),23.0791 (59),0.7256 (50),0.7076 (57),
70110,psuuuu,23.8201 (65),21.5409 (69),0.7256 (50),0.7070 (58),
67506,ipg_mrc,24.1830 (60),22.5620 (62),0.7248 (51),0.7027 (59),
71439,Signup,24.1496 (61),22.5965 (61),0.6974 (52),0.6821 (60),
49590,Hansheng,24.0110 (63),22.4123 (63),0.6917 (53),0.6717 (61),
48814,Racso,23.1612 (69),20.5999 (70),0.6877 (55),0.6703 (62),
70693,nouse,23.8875 (64),22.3439 (65),0.6842 (56),0.6687 (63),
72287,Yulin_HUANG,24.0798 (62),22.4086 (64),0.6898 (54),0.6653 (64),
70689,zhwzhong,23.4917 (66),21.9423 (66),0.6526 (57),0.6370 (65),
52940,zzbb,23.4446 (67),21.8960 (67),0.6488 (58),0.6326 (66),
66715,xiaozhazha,23.3865 (68),21.8358 (68),0.6443 (59),0.6287 (67),
42284,Anniezero,23.3865 (68),21.8358 (68),0.6443 (59),0.6287 (67),
