submission_pk,User,b'Exact Match',b'F1'
416778,Kuroxiro,46.169 (1),46.907 (2),
429300,ZTX,45.594 (2),47.036 (1),
276298,Tu,38.633 (3),39.024 (4),
163011,yilunzhao,38.633 (4),39.024 (3),
222904,NLP_Project,38.570 (5),38.960 (5),
220528,tkg,38.570 (5),38.960 (5),
196269,Arco,33.716 (6),34.252 (6),
444806,pakapro,0.000 (7),0.000 (7),
