submission_pk,User,b'Nearest Neighbor',b'Precision-at-10',b'NDCG',b'mAP'
364281,htrvu,0.533333 (1),0.280000 (1),0.708416 (1),0.570143 (1),
363764,v1olet,0.466667 (2),0.213333 (2),0.613132 (2),0.410925 (2),
362122,thphong99,0.433333 (3),0.206667 (3),0.601483 (3),0.399045 (3),
362770,baohoai02,0.133333 (4),0.136667 (4),0.459541 (4),0.248382 (4),
357984,vohoaidanh,0.100000 (5),0.080000 (5),0.361203 (5),0.140193 (5),
490172,nghiemkythu,0.000000 (6),0.000000 (7),0.000000 (9),0.000000 (9),
364663,Ant-Man,0.000000 (6),0.000000 (7),0.000000 (9),0.000000 (9),
364220,ducanh250599,0.000000 (6),0.006667 (6),0.220561 (7),0.019760 (7),
363853,duongvankhoa,0.000000 (6),0.000000 (7),0.000000 (9),0.000000 (9),
355909,chongchongtrenenobita,0.000000 (6),0.000000 (7),0.195141 (8),0.009491 (8),
346023,nero,0.000000 (6),0.006667 (6),0.247999 (6),0.041382 (6),
