submission_pk,User,b'mean_dice',b'Dice_flat',b'Dice_construction',b'Dice_object',b'Dice_nature',b'Dice_sky',b'Dice_human',b'Dice_vehicle'
407670,Danito,0.806 (1),0.92 (1),0.79 (1),0.63 (1),0.88 (1),0.97 (1),0.50 (1),0.81 (1),
406418,francishung,0.729 (2),0.90 (2),0.70 (2),0.52 (2),0.82 (2),0.93 (7),0.35 (3),0.71 (2),
409269,dpmeulendijks,0.711 (3),0.89 (4),0.65 (5),0.51 (3),0.80 (3),0.93 (8),0.40 (2),0.66 (5),
405820,hakdemir,0.702 (4),0.90 (3),0.67 (4),0.48 (4),0.78 (5),0.96 (2),0.24 (11),0.68 (4),
386714,Jingyuan_Han,0.693 (5),0.88 (10),0.68 (3),0.46 (6),0.79 (4),0.95 (3),0.24 (9),0.65 (6),
406021,Pim,0.667 (6),0.88 (6),0.61 (8),0.41 (11),0.77 (7),0.87 (16),0.34 (4),0.63 (8),
377339,y-ga0,0.667 (7),0.87 (14),0.65 (6),0.43 (9),0.74 (9),0.93 (6),0.24 (10),0.59 (11),
405016,ninavd1998,0.659 (8),0.88 (8),0.62 (7),0.41 (10),0.75 (8),0.89 (13),0.27 (5),0.61 (9),
409355,dirkcremers,0.655 (9),0.88 (9),0.61 (10),0.45 (7),0.72 (13),0.84 (19),0.25 (7),0.65 (7),
409174,lmdlmdlmd,0.653 (10),0.89 (5),0.61 (9),0.36 (15),0.73 (10),0.90 (12),0.22 (12),0.69 (3),
407733,swpenninga,0.643 (11),0.86 (17),0.59 (12),0.47 (5),0.73 (11),0.91 (11),0.26 (6),0.49 (19),
409315,A-R-M-Y,0.627 (12),0.88 (7),0.55 (14),0.37 (14),0.71 (15),0.94 (4),0.13 (24),0.57 (13),
408694,KjeldZ,0.619 (13),0.85 (19),0.55 (18),0.43 (8),0.71 (16),0.91 (10),0.25 (8),0.45 (23),
408098,Erastus,0.619 (14),0.84 (21),0.55 (13),0.41 (12),0.70 (17),0.88 (15),0.22 (13),0.55 (14),
376227,Yilei,0.594 (15),0.84 (22),0.53 (20),0.38 (13),0.78 (6),0.82 (22),0.17 (18),0.45 (24),
390426,Haiko,0.584 (16),0.87 (12),0.55 (17),0.33 (20),0.69 (18),0.74 (31),0.20 (15),0.54 (15),
410332,Y.Zhang0126,0.584 (17),0.82 (27),0.55 (15),0.33 (19),0.72 (14),0.85 (18),0.14 (23),0.47 (21),
407166,texterkate,0.581 (18),0.79 (31),0.60 (11),0.28 (27),0.73 (12),0.88 (14),0.13 (25),0.46 (22),
