submission_pk,User,b'AP',b'AP_categ',b'AP_descr',b'AP_descr_pos',b'AP_descr_S',b'AP_descr_M',b'AP_descr_L'
452596,l_harold,0.2981 (1),0.2989 (4),0.2973 (1),0.3869 (1),0.4787 (1),0.2678 (1),0.1908 (1),
453495,tuyentx,0.2650 (2),0.3363 (1),0.2187 (3),0.3204 (2),0.3781 (4),0.1974 (3),0.1158 (3),
452724,sanghyeokchu,0.2641 (3),0.3075 (3),0.2315 (2),0.2787 (4),0.3876 (3),0.2137 (2),0.1370 (2),
453213,USTCxNetEaseFuxi,0.2471 (4),0.3223 (2),0.2004 (5),0.3097 (3),0.3548 (5),0.1797 (5),0.1038 (5),
453412,abcaaa,0.2463 (5),0.2938 (5),0.2121 (4),0.2754 (5),0.3961 (2),0.1928 (4),0.1153 (4),
445696,yumin,0.1833 (6),0.2296 (6),0.1526 (6),0.2373 (6),0.2822 (6),0.1374 (6),0.0719 (6),
453625,warriors_,0.0634 (7),0.1544 (7),0.0399 (7),0.0448 (7),0.1526 (7),0.0141 (7),0.0045 (7),
451504,pakapro,0.0000 (8),0.0000 (8),0.0000 (8),0.0000 (8),0.0000 (8),0.0000 (8),0.0000 (8),
