submission_pk,User,b'OOD-Acc-pi/6',b'IID-Acc-pi/6',b'OOD-shape-Acc-pi/6',b'OOD-pose-Acc-pi/6',b'OOD-context-Acc-pi/6',b'OOD-texture-Acc-pi/6',b'OOD-occlusion-Acc-pi/6',b'OOD-weather-Acc-pi/6'
187290,dhpitt,0.1980 (1),0.2764 (1),0.1713 (1),0.0298 (1),0.2981 (1),0.2832 (1),0.1582 (1),0.2478 (1),
187291,mmmmimic,0.0656 (2),0.1274 (2),0.0815 (2),0.0019 (3),0.1217 (2),0.0726 (2),0.0434 (2),0.0727 (2),
187293,ROBIN,0.0106 (3),0.0190 (3),0.0183 (3),0.0065 (2),0.0106 (3),0.0124 (3),0.0081 (3),0.0074 (3),
