submission_pk,User,b'mAP_L',b'AP50_L',b'AP75_L',b'AR1_L',b'AR10_L',b'mAP',b'mAP_S',b'AP50_S',b'AP75_S',b'AR1_S',b'AR10_S'
175050,huliang,0.398 (1),0.615 (2),0.440 (1),0.382 (1),0.437 (1),0.465 (1),0.531 (3),0.765 (3),0.594 (2),0.451 (1),0.602 (1),
166992,cuixuan,0.373 (2),0.621 (1),0.411 (2),0.306 (3),0.435 (2),0.388 (4),0.403 (6),0.615 (6),0.436 (6),0.392 (4),0.523 (4),
162626,Carl_Huang,0.367 (3),0.601 (3),0.399 (3),0.305 (4),0.421 (3),0.456 (2),0.544 (1),0.787 (1),0.598 (1),0.442 (3),0.593 (3),
164024,yknykn,0.336 (4),0.539 (4),0.338 (5),0.324 (2),0.366 (4),0.437 (3),0.538 (2),0.769 (2),0.580 (3),0.446 (2),0.594 (2),
165394,lipengxiang,0.302 (5),0.536 (5),0.348 (4),0.287 (5),0.344 (5),0.355 (5),0.407 (5),0.643 (5),0.442 (5),0.389 (5),0.515 (5),
158773,research-vis-acc,0.187 (6),0.363 (7),0.173 (6),0.166 (7),0.249 (6),0.302 (6),0.417 (4),0.649 (4),0.450 (4),0.365 (6),0.495 (6),
174217,SakuraT,0.179 (7),0.377 (6),0.091 (7),0.188 (6),0.242 (7),0.238 (7),0.297 (7),0.497 (7),0.323 (7),0.290 (7),0.369 (7),
165810,bphengyan,0.179 (7),0.377 (6),0.091 (7),0.188 (6),0.242 (7),0.238 (7),0.297 (7),0.497 (7),0.323 (7),0.290 (7),0.369 (7),
163349,chuyhu,0.179 (7),0.377 (6),0.091 (7),0.188 (6),0.242 (7),0.238 (7),0.297 (7),0.497 (7),0.323 (7),0.290 (7),0.369 (7),
176137,zjw,0.006 (8),0.020 (8),0.005 (8),0.042 (8),0.056 (8),0.006 (8),0.006 (8),0.011 (8),0.005 (8),0.071 (8),0.095 (8),
171493,KL,0.000 (9),0.000 (9),0.000 (9),0.001 (9),0.001 (9),0.000 (10),0.000 (10),0.001 (10),0.000 (10),0.006 (10),0.006 (10),
174968,kyriemelon,0.000 (10),0.000 (10),0.000 (9),0.000 (10),0.000 (10),0.001 (9),0.001 (9),0.001 (9),0.001 (9),0.028 (9),0.028 (9),
