submission_pk,User,b'PSNR',b'SSIM',b'Runtime per image [s]',b'CPU [1]/ GPU [0]',b'Extra Data [1] / No Extra Data [0]'
71328,zhhe,14.551 (15),0.552 (15),11.23 (5),1.00 (1),1.00 (1),
72428,mengmengbai,23.411 (3),0.778 (3),11.23 (5),1.00 (1),0.00 (2),
47589,dhkim,22.345 (7),0.775 (6),0.09 (3),0.00 (2),0.00 (2),
71356,hsslab,18.879 (13),0.609 (14),11.23 (5),1.00 (1),0.00 (2),
70342,LBJ,22.648 (6),0.770 (7),-1.00 (1),0.00 (2),0.00 (2),
65400,valhongli,13.215 (16),0.353 (16),0.02 (2),0.00 (2),0.00 (2),
64300,runzeer,18.540 (14),0.622 (13),11.23 (5),1.00 (1),0.00 (2),
58911,whlzy,23.941 (2),0.802 (1),11.23 (5),1.00 (1),0.00 (2),
62210,ChangEn,23.409 (4),0.765 (8),11.23 (5),1.00 (1),0.00 (2),
59383,AaronZ,19.957 (12),0.676 (12),11.23 (5),1.00 (1),0.00 (2),
49914,Alex_Zhou,21.535 (9),0.687 (11),0.16 (4),1.00 (1),0.00 (2),
72418,jiayin,22.011 (8),0.776 (5),-1.00 (1),-1.00 (3),-1.00 (3),
71632,huangjiamian,22.656 (5),0.776 (4),-1.00 (1),-1.00 (3),-1.00 (3),
71499,sanchit,27.444 (1),0.799 (2),-1.00 (1),-1.00 (3),-1.00 (3),
66121,ritwikdas54,21.518 (10),0.752 (9),-1.00 (1),-1.00 (3),-1.00 (3),
47571,mmyy2513,20.252 (11),0.717 (10),-1.00 (1),-1.00 (3),-1.00 (3),
