submission_pk,User,b'< Rank >',b'MCC',b'Recall',b'Precision',b'Disk Footprint (Bytes)',b'Model Params'
167150,sggwjb,1.17 (1),0.9836 (1),0.9859 (1),0.9859 (1),2244861551.0 (2),559890432.0 (2),
167118,OrganizersBaselines,2.00 (2),0.9343 (2),0.9437 (2),0.9437 (2),2260734129.0 (3),565137435.0 (3),
167657,ahmetgunduz,2.00 (2),0.1792 (3),0.2958 (4),0.2958 (3),9395107.0 (1),12345.0 (1),
169547,hui,3.17 (3),-0.3587 (4),0.6761 (3),0.1046 (4),2356736392.0 (4),580792183.0 (4),
