submission_pk,User,b'AP',b'AP50',b'AP Bean',b'AP50 Bean',b'AP Maize',b'AP50 Maize'
443487,lueluelue,0.4938 (1),0.7684 (1),0.4979 (1),0.7742 (1),0.4878 (1),0.7612 (1),
427560,tariqzioud,0.4714 (2),0.7180 (2),0.4839 (2),0.7360 (2),0.4530 (3),0.6908 (2),
440046,leaves,0.4677 (3),0.6813 (4),0.4749 (3),0.6949 (4),0.4575 (2),0.6604 (4),
442693,smartfarmrobotix,0.4531 (4),0.6949 (3),0.4559 (4),0.7106 (3),0.4503 (4),0.6729 (3),
439777,Franco,0.2795 (5),0.5217 (5),0.2864 (5),0.5333 (5),0.2766 (5),0.5092 (5),
438554,diramazioni,0.0001 (6),0.0001 (6),0.0001 (6),0.0002 (6),0.0001 (6),0.0001 (6),
423251,Aarjav101,0.0000 (7),0.0001 (7),0.0000 (7),0.0001 (7),0.0000 (7),0.0000 (7),
