submission_pk,User,b'OOD-AP50',b'IID-AP50',b'OOD-shape-AP50',b'OOD-pose-AP50',b'OOD-context-AP50',b'OOD-texture-AP50',b'OOD-occlusion-AP50',b'OOD-weather-AP50'
186797,temerara,0.8138 (1),0.6731 (1),0.8055 (1),0.7866 (1),0.8925 (1),0.8264 (1),0.6754 (1),0.8966 (1),
187350,hucens,0.7310 (2),0.6637 (3),0.7604 (2),0.7586 (2),0.7639 (3),0.7402 (3),0.5270 (3),0.8357 (2),
179789,zhengye,0.7227 (3),0.6692 (2),0.7302 (3),0.7530 (3),0.8128 (2),0.7426 (2),0.4680 (4),0.8297 (3),
172040,wooks527,0.6741 (4),0.6531 (4),0.6848 (4),0.6673 (4),0.7471 (4),0.7173 (4),0.4335 (5),0.7942 (4),
186689,vtddggg,0.4890 (5),0.5503 (6),0.5410 (6),0.5685 (6),0.4738 (6),0.5799 (5),0.2551 (6),0.5159 (5),
168926,wujiekd,0.4089 (6),0.5881 (5),0.6010 (5),0.6248 (5),0.6089 (5),0.0000 (6),0.6188 (2),0.0000 (6),
168919,ROBIN,0.4089 (6),0.5881 (5),0.6010 (5),0.6248 (5),0.6089 (5),0.0000 (6),0.6188 (2),0.0000 (6),
