submission_pk,User,Challenge Score
,b'All Vertices'
490051,huze,70.8473 (1),,
492009,UARK-SUNY-Albany,61.2160 (2),,
489449,CYHSM,60.8190 (3),,
472131,BlobGPT,60.2472 (4),,
493326,hosseinadeli,59.2244 (5),,
494006,cvailab,58.7776 (6),,
492925,takuya,58.6396 (7),,
472142,kyti,58.6272 (8),,
493836,koelma,58.3249 (9),,
472309,grapeot,57.6842 (10),,
489488,ashes,57.0727 (11),,
490369,ChanceLevel,56.4433 (12),,
484535,zcboluo,53.9323 (13),,
472306,skyboy23,53.9259 (14),,
472327,taru,53.5135 (15),,
493262,PaulScotti,52.2649 (16),,
485506,es123,52.0784 (17),,
493523,slavaheroes,50.0474 (18),,
482540,fractalencoders,49.5092 (19),,
472325,LukeK,49.1195 (20),,
472157,RLeipe,48.7589 (21),,
486389,dpan,48.7225 (22),,
473315,catosine,48.4552 (23),,
472304,Divyanshu-Bhatt,47.6603 (24),,
473377,skynet,47.6533 (25),,
472295,Rxliang,47.6037 (26),,
472216,iannwtf,47.3071 (27),,
472322,yunagi,46.9504 (28),,
472313,matteoferrante,45.2463 (29),,
473347,jschubeck,45.2193 (30),,
472193,simoneazeglio,44.4575 (31),,
472214,MASS,44.0524 (32),,
472207,Yoshito,43.9263 (33),,
491990,Dandelion,43.7085 (34),,
473335,artem9k,43.0304 (35),,
484827,ffan,42.9663 (36),,
472287,giorgiocarbone,42.4919 (37),,
478832,Anonymous_user,42.3535 (38),,
472238,neuro_enc,42.2649 (39),,
473303,ConvolutionalSlayers,42.2471 (40),,
493195,csng_team,41.7998 (41),,
473470,ne,41.7412 (42),,
472194,henry,41.4137 (43),,
472727,ccc29,41.3450 (44),,
476603,Roman_Beliy,41.2527 (45),,
472090,OrganizerBaseline,40.4222 (46),,
472320,flash00,40.3870 (47),,
472978,BJ_Summer,40.2981 (48),,
475350,aborovykh,40.1590 (49),,
472236,Takuma.B,40.1230 (50),,
493252,Riccardo-Chimisso,39.9926 (51),,
472260,vstark21,38.0716 (52),,
476665,yzl18,37.3623 (53),,
474331,lisq,36.8744 (54),,
490271,Mei,36.7625 (55),,
472244,hwgu,36.5715 (56),,
483927,beizai,36.4533 (57),,
473306,qrx,35.9656 (58),,
473461,trungpham,35.8158 (59),,
473505,jroth,34.4181 (60),,
493598,Yizhuo_Lu,34.3942 (61),,
472334,Flo2306,33.2701 (62),,
472158,anp,33.2054 (63),,
472297,kawa,32.9845 (64),,
493829,qasymjomart,32.4863 (65),,
472263,shinouta,32.3211 (66),,
472248,Cyb3rBlaze,31.9342 (67),,
472332,lightdisappear,31.7650 (68),,
473490,chandrakant,31.6927 (69),,
472315,Wenshuo,31.6471 (70),,
482199,Kriti,30.3472 (71),,
473304,ShijZ,27.6497 (72),,
472256,multivariate,22.9256 (73),,
473378,HomoDigitalis,22.4356 (74),,
472316,Cris,21.8303 (75),,
472685,Ryoto,21.8115 (76),,
486199,Subhrasankar,21.5636 (77),,
472226,shuhei019,18.6579 (78),,
472225,kuma,18.6412 (79),,
473290,goldy-fj,17.8612 (80),,
472227,XUJT,17.5636 (81),,
474217,alex12341,17.4030 (82),,
472312,shinji,17.2762 (83),,
472211,chenjuun,16.7032 (84),,
473449,nystrom,14.9991 (85),,
473486,chadyang,14.6997 (86),,
473493,tsneurotech,14.5501 (87),,
483957,advaith,13.9676 (88),,
472232,atsuki,13.3175 (89),,
473307,ping,10.4776 (90),,
472608,contestant1,9.3839 (91),,
472179,cuikailong,9.2913 (92),,
473447,swest19,9.1866 (93),,
472553,daochang-liu,8.5897 (94),,
472560,jajoosam,5.2462 (95),,
472247,annie_johansson,2.9330 (96),,
472261,bjmiao,1.4248 (97),,
493987,kadaj13,1.2807 (98),,
