submission_pk,User,b'F-Score',b'F-Score (Edges)',b'MAE',b'RMSE',b'AbsRel',b'Edge Accuracy',b'Edge Completion'
194309,jspenmar,13.3389 (1),8.4442 (1),4.8585 (5),8.4066 (5),29.2125 (5),3.7764 (4),22.9317 (2),
229393,ivas,12.5446 (2),7.4876 (2),4.7332 (2),8.1776 (4),27.7092 (3),3.2317 (1),26.1963 (3),
220422,Sicks,12.0262 (3),7.1725 (3),4.6072 (1),7.7273 (1),27.0472 (2),3.5839 (3),59.5480 (6),
232080,ikucher,11.5162 (4),6.7243 (5),4.7631 (4),8.1013 (3),27.0335 (1),3.8502 (5),46.1228 (4),
231694,cqzhao,11.3480 (5),6.9346 (4),4.7626 (3),8.0800 (2),28.6904 (4),3.3219 (2),46.3012 (5),
203740,hangzhouuea,5.2414 (6),4.5261 (6),8.0483 (6),12.5470 (6),43.4351 (6),10.0000 (6),10.0000 (1),
