submission_pk,User,b'IoU (\xe2\x86\x91)'
205110,tianjian10,28.42 (1),
205102,dtzq,28.13 (2),
210582,easytrojansniper,24.00 (3),
210243,nikita.benkovich,11.09 (4),
204078,mmazeika,5.53 (5),
