submission_pk,User,b'bbox_mAP_50',b'bbox_mAP'
84467,qqq,0.7220 (1),0.4700 (1),
87539,XC_00,0.7140 (2),0.3470 (4),
86142,zsd,0.7030 (3),0.2910 (7),
87896,xixiha,0.7000 (4),0.3090 (5),
88534,CSU_Weilong,0.6860 (5),0.3820 (2),
85717,yangjian,0.6860 (5),0.3670 (3),
88259,zzz123,0.5850 (6),0.2930 (6),
88475,CASIT,0.4150 (7),0.1730 (18),
87893,shan666,0.3900 (8),0.1780 (17),
87201,AndrewGuo,0.3710 (9),0.2360 (9),
81346,PHJun,0.3580 (10),0.1000 (20),
88601,wanyu,0.3510 (11),0.2070 (12),
81859,bitopyx,0.3510 (11),0.1900 (15),
69748,meitounao,0.3470 (12),0.2270 (10),
74065,seyosum,0.3300 (13),0.2840 (8),
76310,detectors_218,0.3280 (14),0.2240 (11),
86957,zytx121,0.3270 (15),0.1990 (13),
75486,kpp,0.3020 (16),0.1920 (14),
88481,NWPU_H,0.2950 (17),0.1810 (16),
79665,sept66,0.2920 (18),0.1730 (18),
73487,Adlith,0.2660 (19),0.1450 (19),
84000,DonDominic,0.2610 (20),0.0340 (26),
82945,RepSunny,0.1660 (21),0.0900 (21),
79028,weizero,0.1520 (22),0.0470 (25),
81281,Nevermore,0.1490 (23),0.0570 (23),
75170,renshengyong,0.1320 (24),0.0500 (24),
81509,tiantian,0.0690 (25),0.0690 (22),
74884,HappyYang,0.0690 (25),0.0690 (22),
71073,scut_joey,0.0690 (25),0.0690 (22),
65884,hufy,0.0690 (25),0.0690 (22),
74976,juechen,0.0460 (26),0.0010 (28),
81518,tianyi,0.0070 (27),0.0010 (28),
87998,CanLi,0.0050 (28),0.0030 (27),
84742,hanxu,0.0000 (29),0.0000 (29),
78989,OOLLcnm,0.0000 (29),0.0000 (29),
76342,Eternal_Youth,0.0000 (29),0.0000 (29),
