submission_pk,User,b'Score'
435718,minkyulee,1.000000 (1),
435546,lsk,1.000000 (1),
434741,hsi1032,1.000000 (1),
434463,Moon_Jaewan,1.000000 (1),
432281,SuBeenLee,1.000000 (1),
432192,leemiso,1.000000 (1),
431237,WonJunMoon,1.000000 (1),
431081,gilhanpark,1.000000 (1),
430439,JonghunKim_,1.000000 (1),
436139,JinsunLee,0.923483 (2),
430313,SnagHoLee,0.915842 (3),
436279,siwoolee,0.851613 (4),
435195,briankim,0.841849 (5),
425992,tdc2000,0.835955 (6),
432475,HowoongLee,0.834746 (7),
434319,GeunminHwang,0.832981 (8),
436213,JieunKim,0.815126 (9),
432522,SunghunKim,0.814655 (10),
428530,ngochdm,0.803245 (11),
429852,Sejeong.Lim,0.801619 (12),
436203,haps,0.801603 (13),
428239,JuannKim,0.801603 (13),
427985,DongchanSeo,0.801603 (13),
435938,Ohsungbhin,0.800000 (14),
435038,junyujae,0.800000 (14),
433032,inescfpinto,0.800000 (14),
432042,jinsuby,0.800000 (14),
432022,HwangSungJoon,0.800000 (14),
431684,SeungwooJang,0.800000 (14),
429979,CHENMEICEN,0.800000 (14),
429850,Jungahn,0.800000 (14),
428232,oooi,0.800000 (14),
428259,heatherhong,0.800000 (14),
423836,johnny2304,0.800000 (14),
434796,HyunJinKim,0.798319 (15),
435815,LeeJungJu,0.796680 (16),
434562,RagnarNW,0.793456 (17),
436155,WoojinJeong,0.783158 (18),
433139,ByeonghyeonLee,0.778846 (19),
436109,HyeongkiAhn,0.776119 (20),
429993,SuhyoungHa,0.763889 (21),
436208,JaeJoon-Lee,0.760915 (22),
431628,jjw2564,0.759804 (23),
433001,hanbyullee,0.747253 (24),
430075,gyeong_ryeol_song,0.731935 (25),
434559,hpnquoc,0.719807 (26),
432898,HyunmoYang,0.667979 (27),
429885,jiminAn,0.628895 (28),
432891,deny,0.363095 (29),
