submission_pk,User,b'MSSD',b'MSPD',b'RE',b'MSSD_AR',b'MSPD_AR',b'RE_AR',b'AR all'
443901,igod,0.2 (1),54.5 (1),21.2 (1),0.6 (1),0.6 (1),0.5 (1),0.6 (1),
443340,coder-james,0.2 (2),73.8 (2),22.3 (2),0.5 (2),0.4 (3),0.4 (3),0.4 (2),
440357,yingfan,0.3 (3),81.1 (3),33.3 (3),0.4 (3),0.4 (2),0.4 (2),0.4 (3),
280838,xiexh,0.5 (4),110.0 (4),43.0 (4),0.2 (4),0.3 (5),0.4 (4),0.3 (4),
350574,xxie,0.5 (5),110.0 (5),43.0 (4),0.2 (5),0.3 (4),0.4 (4),0.3 (5),
437424,DaiSun,0.5 (6),211.3 (6),78.0 (5),0.1 (6),0.0 (6),0.0 (6),0.1 (6),
442236,pakapro,3.2 (7),86210599.7 (7),90.1 (6),0.0 (7),0.0 (7),0.1 (5),0.0 (7),
