submission_pk,User,b'Prediction score',b'Duration'
92465,SSara,0.8201 (1),0.00 (1),
96371,akruchinina,0.8086 (2),0.00 (1),
44951,Jilin,0.4839 (3),0.00 (1),
88662,romainM,0.4775 (4),0.00 (1),
88659,panacea,0.4775 (4),0.00 (1),
58607,Ramdane,0.4775 (4),0.00 (1),
54699,guyon,0.4775 (4),0.00 (1),
