submission_pk,User,b'<Rank>',b'Recall',b'Precision',b'F1',b'Accuracy',b'MCC'
177362,akkhan1871,1.0000 (5),0.8864 (1),0.8387 (1),0.8619 (1),0.8392 (1),0.6714 (1),
177363,raisumia,2.0000 (4),0.8807 (2),0.8245 (2),0.8516 (2),0.8264 (2),0.6449 (2),
173241,tanfiona,4.6000 (1),0.8466 (3),0.7801 (5),0.8120 (5),0.7781 (5),0.5452 (5),
177359,csecudsg,4.0000 (2),0.8409 (4),0.8087 (4),0.8245 (4),0.7974 (4),0.5858 (4),
177307,PaulTrust,3.4000 (3),0.8352 (5),0.8167 (3),0.8258 (3),0.8006 (3),0.5930 (3),
