submission_pk,User,b'avg F1'
144536,ryanwong,0.606554 (1),
189760,th,0.566752 (2),
144217,Random_guess,0.564260 (3),
141027,juliojj,0.300123 (4),
144425,hpoes,0.139223 (5),
144219,SandeshPokhrel,0.001097 (6),
