submission_pk,User,b'bbox_mAP_50',b'bbox_mAP'
104800,CSU_MOD,0.7360 (1),0.4050 (2),
104656,xixiha,0.7190 (2),0.3670 (4),
104792,JingwenH,0.6570 (3),0.4350 (1),
98370,XC_00,0.5870 (4),0.3110 (8),
103597,Therese,0.5800 (5),0.3030 (9),
93476,zzz123,0.5750 (6),0.3350 (5),
103314,HideOnBush,0.5660 (7),0.3020 (10),
103390,CSU_Weilong,0.5540 (8),0.3870 (3),
104635,CanLi,0.5450 (9),0.3240 (6),
104574,wanyu,0.5390 (10),0.3210 (7),
103392,Jo_Liane,0.5350 (11),0.2430 (11),
104851,CASIT,0.4400 (12),0.2210 (12),
104357,qsjxyz,0.4200 (13),0.2100 (13),
104098,ggle,0.3700 (14),0.2210 (12),
102007,LY_ZXF,0.2560 (15),0.1260 (15),
97050,laowang,0.2500 (16),0.1300 (14),
104438,wkeen,0.1960 (17),0.0910 (17),
104413,guochen,0.1960 (17),0.0910 (17),
104757,HanHan,0.1920 (18),0.0840 (18),
104859,dhk,0.1810 (19),0.0930 (16),
104857,Stone,0.1810 (19),0.0930 (16),
103672,dddlll,0.1480 (20),0.0440 (21),
89974,sept66,0.1140 (21),0.0690 (19),
95983,hexing,0.0990 (22),0.0420 (22),
103752,PHJun,0.0950 (23),0.0400 (23),
104658,LYT,0.0890 (24),0.0310 (24),
103398,lixx,0.0820 (25),0.0470 (20),
104609,pppp_66,0.0750 (26),0.0200 (26),
104307,OSH,0.0740 (27),0.0200 (26),
95034,NWPU_H,0.0730 (28),0.0470 (20),
103528,qaz823,0.0570 (29),0.0310 (24),
91965,AndrewGuo,0.0540 (30),0.0300 (25),
102011,yangjian,0.0420 (31),0.0110 (27),
95953,h_star,0.0400 (32),0.0070 (29),
103313,CoSo,0.0350 (33),0.0100 (28),
103808,hby1997,0.0170 (34),0.0050 (30),
104696,yuancao,0.0000 (35),0.0000 (31),
