submission_pk,User,b'F1',b'P',b'R'
199145,J_INAOE_NLP,0.24 (1),0.3110 (1),0.1940 (1),
446163,shantanudev,0.00 (2),0.0000 (2),0.0000 (2),
406635,manpriyadua,0.00 (2),0.0000 (2),0.0000 (2),
submission_pk,User,b'F1',b'P',b'R'
446163,shantanudev,- (-),,,
406635,manpriyadua,- (-),,,
199145,J_INAOE_NLP,- (-),,,
submission_pk,User,b'F1',b'P',b'R'
446163,shantanudev,- (-),,,
406635,manpriyadua,- (-),,,
199145,J_INAOE_NLP,- (-),,,
