submission_pk,User,b'< Rank >',b'MCC',b'F1 BAD',b'F1 OK',b'Disk Footprint (Bytes)',b'Model Params'
168117,IST-Unbabel,2.20 (2),0.4243 (1),0.6910 (3),0.7332 (1),2260744107.0 (2),565139485.0 (4),
168170,JeonghyeokPark,2.00 (1),0.3735 (2),0.6464 (4),0.7227 (2),2241394304.0 (1),560301035.0 (1),
166654,OrganizersBaselines,2.80 (3),0.3593 (3),0.6947 (2),0.6277 (3),2280011066.0 (4),564527011.0 (2),
167877,Abulice,3.00 (4),0.3576 (4),0.6990 (1),0.5965 (4),2260780823.0 (3),565137436.0 (3),
