submission_pk,User,b'Score',b'AScore'
213045,homelander,11.80 (1),- (-),
213010,UIT-GOogol,11.80 (1),- (-),
213024,linhlpv,11.60 (2),- (-),
212976,lechithinh,11.60 (2),- (-),
213020,BachNG,11.40 (3),- (-),
212749,hustboy,11.40 (3),- (-),
212953,magicjimmy,11.20 (4),- (-),
213015,user-hidden,11.00 (5),- (-),
212943,hungam,11.00 (5),- (-),
212873,sieunhanxyz147,11.00 (5),- (-),
213047,MiloLovers,10.60 (6),- (-),
212825,Dat09,10.60 (6),- (-),
213012,UIT-RainbowShine,10.00 (7),- (-),
213001,ExperiencedNewbies,10.00 (7),- (-),
213026,hanhpm,9.80 (8),- (-),
213013,Azone,9.80 (8),- (-),
212612,sandman,9.60 (9),- (-),
212990,ToTuanAn,9.40 (10),- (-),
212880,hbmduyen,9.40 (10),- (-),
213023,tlhbinhk12,9.00 (11),- (-),
213011,tuandinh,8.80 (12),- (-),
212934,Monica,8.80 (12),- (-),
212810,dnsang,8.80 (12),- (-),
213019,trungnq2k,8.40 (13),- (-),
212972,uno2022,8.40 (13),- (-),
212897,thangdt277,7.80 (14),- (-),
213046,badger_team_x,7.60 (15),- (-),
213044,nero,7.00 (16),- (-),
213022,aic-Plato,7.00 (16),- (-),
212926,kien,7.00 (16),- (-),
212923,PhatTran,7.00 (16),- (-),
212842,HCMUS-MagnumOpus,5.20 (17),- (-),
213018,tiennt235,5.00 (18),- (-),
213017,ntkhang2003,4.60 (19),- (-),
212898,TIUday,4.60 (19),- (-),
212915,voanhhao3830,4.40 (20),- (-),
212938,HCMUS_CottonCandy,3.80 (21),- (-),
212977,k_mashiro,3.60 (22),- (-),
212917,USOFA,3.40 (23),- (-),
212902,manhkhanhad,3.40 (23),- (-),
213009,ThuyNT,3.00 (24),- (-),
212772,Vinh,3.00 (24),- (-),
212809,hoaian1304,1.20 (25),- (-),
213025,duongvankhoa,0.00 (26),- (-),
213000,VeVe,0.00 (26),- (-),
212981,bqhung127,0.00 (26),- (-),
212957,lTIPl,0.00 (26),- (-),
212950,Nhon,0.00 (26),- (-),
212883,RE201,0.00 (26),- (-),
212828,nhatquan,0.00 (26),- (-),
212769,trongan1407,0.00 (26),- (-),
212750,test_21520097,0.00 (26),- (-),
212605,huychohuy,0.00 (26),- (-),
