submission_pk,User,b'Prediction score',b'Duration'
97998,akruchinina,0.7298 (1),0.00 (1),
97997,SSara,0.7298 (1),0.00 (1),
44871,Jilin,0.3892 (2),0.00 (1),
88867,romainM,0.1923 (3),0.00 (1),
88661,panacea,0.1923 (3),0.00 (1),
58608,Ramdane,0.1923 (3),0.00 (1),
54704,guyon,0.1923 (3),0.00 (1),
