submission_pk,User,b'PSNR',b'SSIM',b'LPIPS',b'KLD'
331070,Youxi,37.16 (6),0.97 (3),0.10 (6),0.07 (1),
331155,m-wq,37.82 (2),0.97 (4),0.08 (2),0.07 (2),
331526,Wendy,38.59 (1),0.98 (1),0.07 (1),0.07 (3),
331869,Legless_bird,37.65 (3),0.97 (2),0.09 (5),0.07 (4),
330979,kunyuwang,37.32 (4),0.97 (6),0.09 (3),0.08 (5),
333421,ChengzhiCao,37.32 (5),0.97 (5),0.09 (4),0.08 (6),
332844,kmm,36.79 (7),0.96 (7),0.11 (8),0.08 (7),
330943,xiajiyuan,36.63 (8),0.96 (8),0.11 (7),0.08 (8),
330613,Senta,18.24 (10),0.76 (10),0.55 (9),0.40 (9),
330567,AndyFine,18.24 (9),0.76 (9),0.55 (10),0.40 (9),
