submission_pk,User,b'Score',b'AP_50',b'Delta_1'
352649,sanmu,0.777900 (1),0.759000 (3),0.796800 (4),
352921,IPIU-XDU,0.777800 (2),0.779000 (1),0.776600 (11),
333649,ZheWang,0.772300 (3),0.741000 (6),0.803700 (3),
351009,shelan,0.771400 (4),0.761000 (2),0.781900 (6),
341997,zhangxiaoli,0.765400 (5),0.756000 (4),0.774800 (13),
347741,linpeng02188,0.760300 (6),0.750000 (5),0.770700 (19),
334565,lcr,0.751100 (7),0.729000 (8),0.773300 (16),
351092,newboy,0.750200 (8),0.726000 (9),0.774500 (14),
348812,ACVLabNCKU,0.734600 (9),0.688000 (13),0.781300 (7),
331069,miaodq,0.733900 (10),0.693000 (12),0.774800 (13),
329812,qiqi,0.733700 (11),0.693000 (12),0.774400 (15),
334979,Rubby,0.724700 (12),0.724000 (10),0.725500 (31),
328251,IRSA_AI,0.723800 (13),0.676000 (15),0.771700 (17),
340679,zsc1220,0.722200 (14),0.673000 (16),0.771500 (18),
350963,xixiha,0.720800 (15),0.664000 (17),0.777700 (10),
332691,YangRuoyu,0.700500 (16),0.651000 (18),0.750100 (25),
331195,Charles,0.700500 (16),0.679000 (14),0.722100 (33),
346844,Zhou_ZM,0.696700 (17),0.614000 (20),0.779500 (8),
341147,wangmingming,0.693700 (18),0.726000 (9),0.661400 (42),
340684,haojingjing,0.691800 (19),0.625000 (19),0.758700 (23),
327470,Jitai,0.672300 (20),0.591000 (21),0.753600 (24),
341468,Sunyuky,0.670600 (21),0.571000 (24),0.770300 (20),
340834,gazelxu,0.670600 (21),0.571000 (24),0.770300 (20),
347847,SeaElm,0.669500 (22),0.548000 (25),0.791100 (5),
319835,yuhan,0.659400 (23),0.543000 (27),0.775800 (12),
346021,Ritu,0.649000 (24),0.532000 (29),0.766000 (21),
349610,xyqszbd,0.645200 (25),0.584000 (23),0.706400 (37),
293006,y2c,0.622900 (26),0.526000 (30),0.719900 (34),
295563,WangHrYii,0.620800 (27),0.519000 (32),0.722700 (32),
305201,Xuejq5,0.604500 (28),0.445000 (45),0.764000 (22),
308039,sherlock-zhang,0.602700 (29),0.427000 (48),0.778400 (9),
310693,HewittW,0.602500 (30),0.519000 (32),0.686100 (39),
296649,ouer666,0.594600 (31),0.463000 (41),0.726200 (30),
300447,ShawnDong98,0.591000 (32),0.506000 (34),0.676100 (41),
352767,MJF,0.590200 (33),0.544000 (26),0.636400 (45),
332079,pedro_li,0.588600 (34),0.428000 (47),0.749300 (26),
341404,yyh,0.577400 (35),0.473000 (40),0.681800 (40),
337954,sjh_zjut,0.577400 (35),0.473000 (40),0.681800 (40),
333356,lyx1593016,0.575700 (36),0.421000 (49),0.730500 (28),
321201,Weikun,0.575100 (37),0.436000 (46),0.714200 (35),
327721,y_xu,0.572300 (38),0.410000 (50),0.734700 (27),
343637,karol_wu,0.552700 (39),0.502000 (36),0.603500 (46),
325112,wuzm,0.540400 (40),0.492000 (39),0.588900 (47),
323995,lkbb1213,0.523200 (41),0.316000 (53),0.730400 (29),
339481,karol,0.497100 (42),0.502000 (36),0.492300 (49),
346011,yuanye,0.476900 (43),0.445000 (45),0.508900 (48),
340304,wly,0.456000 (44),0.275000 (54),0.637000 (44),
350544,carryhjr,0.436400 (45),0.722000 (11),0.150800 (51),
334875,JYWU,0.420200 (46),0.010000 (60),0.830400 (2),
348776,tingliu,0.391900 (47),0.735000 (7),0.048800 (59),
334496,EQ94,0.361900 (48),0.010000 (60),0.713900 (36),
331287,qqqqing,0.349300 (49),0.000000 (63),0.698700 (38),
299505,VernalZephyr,0.336300 (50),0.020000 (58),0.652700 (43),
333234,laconicli,0.319000 (51),0.586000 (22),0.052000 (58),
337703,SaadAhmedJamal,0.306500 (52),0.496000 (37),0.117100 (52),
348903,chenjw,0.301200 (53),0.504000 (35),0.098500 (53),
339377,gugu,0.285900 (54),0.523000 (31),0.048800 (59),
317222,SuperEarth,0.283400 (55),0.518000 (33),0.048800 (59),
311422,zj,0.271400 (56),0.494000 (38),0.048800 (59),
305198,xiaojianzhong,0.270900 (57),0.539000 (28),0.002800 (64),
345158,zhoujianzheng,0.250900 (58),0.453000 (42),0.048800 (59),
311589,ChiZhang0612,0.249900 (59),0.451000 (43),0.048800 (59),
350503,ykZOU,0.225400 (60),0.448000 (44),0.002900 (63),
335403,antientropy5,0.176800 (61),0.000000 (63),0.353700 (50),
348849,Zhulijiang,0.176500 (62),0.353000 (51),3.103100 (1),
297446,mlcncs,0.166900 (63),0.332000 (52),0.001900 (65),
320527,ChengLiao,0.085900 (64),0.114000 (55),0.057900 (56),
339608,RuyiZHANG,0.073300 (65),0.091000 (56),0.055600 (57),
337504,yangyi,0.071800 (66),0.088000 (57),0.055600 (57),
335247,TechnoCc,0.044900 (67),0.002000 (61),0.087800 (54),
336253,FaryalJaved,0.042000 (68),0.001000 (62),0.083100 (55),
322587,sin_cos_tan,0.024400 (69),0.000000 (63),0.048800 (59),
320187,gzhu_gagaga,0.024400 (69),0.000000 (63),0.048800 (59),
287538,HAHAHAHA,0.024400 (69),0.000000 (63),0.048800 (59),
348623,xingbojiang,0.021300 (70),0.000000 (63),0.042700 (60),
349435,zhangyu2000,0.011100 (71),0.017000 (59),0.005200 (62),
290572,yaguo,0.009400 (72),0.000000 (63),0.018900 (61),
348750,zsz,0.002600 (73),0.000000 (63),0.005200 (62),
