submission_pk,User,b'EER'
420739,DKU,0.6713 (1),
419482,faker1996,0.6249 (2),
420709,Cash,0.6202 (3),
419194,jmmartin,0.5962 (4),
421393,JunLiAIoT,0.5912 (5),
420976,xieyuankun,0.5663 (6),
421460,Hyunseo,0.5399 (7),
416771,SSS-1,0.5086 (8),
416433,JianqianZhang,0.4855 (9),
479376,lwliu2023,0.4773 (10),
421397,JerryZhang,0.4539 (11),
420348,jizhoulin,0.4465 (12),
417076,FlySpeech77,0.4350 (13),
417710,ikwak2,0.4211 (14),
419028,SuJunyan,0.3874 (15),
418842,realguard,0.2757 (16),
417035,MingshanDu,0.1880 (17),
475130,hckuo,0.1197 (18),
