submission_pk,User,b'AP',b'AP_categ',b'AP_descr',b'AP_descr_pos',b'AP_descr_S',b'AP_descr_M',b'AP_descr_L'
452578,l_harold,0.2981 (1),0.2989 (2),0.2973 (1),0.3869 (1),0.4787 (1),0.2678 (1),0.1908 (1),
453494,tuyentx,0.2650 (2),0.3363 (1),0.2187 (2),0.3204 (2),0.3781 (3),0.1974 (2),0.1158 (2),
453669,abcaaa,0.2463 (3),0.2938 (3),0.2121 (3),0.2754 (3),0.3962 (2),0.1928 (3),0.1156 (3),
445686,yumin,0.1833 (4),0.2296 (4),0.1526 (4),0.2373 (4),0.2822 (4),0.1374 (4),0.0719 (4),
453482,USTCxNetEaseFuxi,0.1417 (5),0.2164 (5),0.1054 (5),0.1597 (5),0.2526 (5),0.0774 (5),0.0282 (5),
450540,audi666,0.0291 (6),0.1085 (6),0.0168 (6),0.0175 (6),0.0630 (6),0.0099 (6),0.0045 (6),
451507,pakapro,0.0000 (7),0.0000 (7),0.0000 (7),0.0000 (7),0.0000 (7),0.0000 (7),0.0000 (7),
