submission_pk,User,b'Error rate',b'Memory usage (MiB)',b'CPU time (ms)',b'Score'
372214,kawa_yo,0.0000100 (1),93.00 (1),0.086 (3),0.0663661 (1),
420332,neuralchecker,0.0000100 (1),96.00 (2),0.054 (2),0.0683040 (2),
354857,EdiMuskardin,0.0000200 (2),120.00 (3),0.037 (1),0.0852084 (3),
350154,TAYSIR-Baseline,0.4977400 (3),149.00 (4),0.166 (4),0.3553508 (4),
