submission_pk,User,b'PSNR(RGB)',b'PSNR(Y)',b'SSIM(RGB)',b'SSIM(Y)'
359450,xiaozhazha,24.3619 (1),25.9151 (1),0.7686 (1),0.7818 (1),
365637,KerrChen,24.1926 (2),25.7552 (2),0.7616 (3),0.7758 (3),
378062,BigTree,24.1762 (3),25.7358 (4),0.7618 (2),0.7763 (2),
336378,HarryS,24.1752 (4),25.7388 (3),0.7599 (4),0.7743 (4),
366258,ajl0613,24.1569 (5),25.7247 (5),0.7585 (5),0.7727 (8),
364831,HDT_lab,24.1537 (6),25.7219 (6),0.7581 (7),0.7721 (9),
339867,George_yukang,24.1341 (7),25.7070 (7),0.7582 (6),0.7738 (6),
335394,AlexZou,24.1140 (8),25.6793 (8),0.7539 (13),0.7679 (14),
346647,HuanZheng,24.1108 (9),25.6780 (9),0.7566 (9),0.7707 (10),
334566,JingxiangChen1,24.1107 (10),25.6779 (10),0.7565 (10),0.7706 (11),
327633,chenzhitao,24.1107 (10),25.6779 (10),0.7565 (10),0.7706 (11),
346642,TZ,24.1100 (11),25.6771 (11),0.7565 (10),0.7707 (10),
329246,webbzhou,24.1100 (11),25.6771 (11),0.7565 (10),0.7707 (10),
369671,yeehengwang,24.1028 (12),25.6720 (12),0.7556 (11),0.7701 (13),
365987,KerrC,24.0786 (13),25.6407 (13),0.7573 (8),0.7736 (7),
372451,PulkitMahajan,24.0486 (14),25.6133 (14),0.7520 (15),0.7663 (16),
360119,ArcticFall,24.0095 (15),25.5706 (15),0.7554 (12),0.7702 (12),
357875,LvJiangtao,23.9994 (16),25.5669 (16),0.7529 (14),0.7669 (15),
371518,hj_whu,23.9930 (17),25.5630 (17),0.7514 (16),0.7659 (17),
366504,LongClaw,23.9892 (18),25.5305 (19),0.7443 (24),0.7588 (26),
355731,CMM,23.9843 (19),25.5293 (21),0.7506 (19),0.7636 (21),
360502,zhongbao97,23.9777 (20),25.5467 (18),0.7510 (18),0.7650 (20),
371056,whu_qsh,23.9603 (21),25.5301 (20),0.7503 (20),0.7652 (19),
344892,Bob072,23.9595 (22),25.4955 (22),0.7599 (4),0.7740 (5),
344251,ferry,23.9139 (23),25.4632 (23),0.7512 (17),0.7655 (18),
371125,Jin_xy,23.8758 (24),25.4487 (24),0.7470 (23),0.7622 (24),
323889,caopulan,23.8749 (25),25.4259 (26),0.7481 (22),0.7625 (23),
347388,JintaoZeng,23.8565 (26),25.4275 (25),0.7484 (21),0.7633 (22),
315570,shenjun,23.8173 (27),25.3870 (27),0.7440 (25),0.7589 (25),
355220,Wedream,23.8025 (28),25.3498 (28),0.7437 (26),0.7571 (28),
345080,garasgaras,23.7593 (29),25.3361 (29),0.7428 (27),0.7583 (27),
359997,Wizard_007,23.7462 (30),25.3158 (30),0.7404 (28),0.7559 (29),
321537,Allen_CT,23.7018 (31),25.2617 (31),0.7391 (29),0.7539 (30),
325349,Huxingyu,23.6381 (32),25.2163 (32),0.7367 (30),0.7527 (31),
313933,lc,23.5805 (33),25.1438 (33),0.7313 (31),0.7462 (32),
343634,Excelsior,23.5068 (34),25.0671 (34),0.7301 (32),0.7455 (33),
331166,maojin,23.4691 (35),25.0289 (35),0.7290 (33),0.7448 (34),
369817,Charm,23.3769 (36),24.9358 (36),0.7264 (34),0.7419 (36),
339122,cyq,23.3330 (37),24.9142 (37),0.7244 (36),0.7417 (37),
371153,mehta,23.3229 (38),24.8822 (38),0.7253 (35),0.7424 (35),
315855,deepernewbie,23.1498 (39),24.7203 (39),0.7112 (38),0.7279 (39),
365061,candle,23.1487 (40),24.6996 (40),0.7162 (37),0.7343 (38),
316923,weller1212,23.0784 (41),24.6347 (41),0.7100 (39),0.7267 (40),
321924,qianyy,22.3677 (42),23.9464 (42),0.6568 (41),0.6826 (41),
321994,atztao,22.3544 (43),23.9204 (43),0.6584 (40),0.6806 (42),
326414,ycc6,21.4762 (44),23.3680 (44),0.5747 (44),0.6260 (45),
315116,yeap,21.1217 (45),22.9268 (46),0.6050 (42),0.6577 (43),
348952,arui,21.0072 (46),22.9314 (45),0.5983 (43),0.6549 (44),
353298,Aayush_Gupta,19.8471 (47),21.6114 (47),0.5449 (45),0.5988 (46),
333142,LuDanSun,19.4375 (48),21.1403 (48),0.5203 (46),0.5962 (47),
316507,ChengzhiCao,18.2468 (49),19.9170 (49),0.5003 (47),0.5295 (48),
